exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124401	single-task	8	0.013328	60	0	60-180	60	131	NoGap	1	1	2	45	0	distractor	1	2426	0	0	13.328	12.850	13.804
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124409	single-task	8	0.013328	60	0	60-180	60	140	NoGap	1	2	2	9	1	target	1	534	733	733	13.328	12.893	13.757
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124415	single-task	8	0.013328	60	0	60-180	60	142	NoGap	1	3	2	45	1	distractor	0	574	-1000	-267	13.328	13.309	13.347
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124421	single-task	8	0.013328	60	0	60-180	60	146	NoGap	1	4	2	6	0	distractor	1	707	647	380	13.328	13.297	13.348
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124427	single-task	8	0.013328	60	0	60-180	60	129	NoGap	1	5	2	3	0	distractor	1	760	620	1000	13.328	13.188	13.459
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124433	single-task	8	0.013328	60	0	60-180	60	106	NoGap	1	6	2	6	1	target	1	573	714	1714	13.328	13.304	13.347
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124439	single-task	8	0.013328	60	0	60-180	60	61	NoGap	1	7	2	9	1	target	1	507	747	2461	13.328	13.308	13.348
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124443	single-task	8	0.013328	60	0	60-180	60	113	NoGap	1	8	2	3	0	distractor	1	547	727	3188	13.328	12.875	13.773
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124449	single-task	8	0.013328	60	0	60-180	60	144	NoGap	1	9	2	9	0	distractor	1	480	760	3948	13.328	13.309	13.347
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124455	single-task	8	0.013328	60	0	60-180	60	152	NoGap	1	10	2	3	1	target	1	720	640	4588	13.328	12.941	13.703
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124501	single-task	8	0.013328	60	0	60-180	60	61	NoGap	1	11	2	3	0	distractor	1	654	673	5261	13.328	13.086	13.560
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124506	single-task	8	0.013328	60	0	60-180	60	137	NoGap	1	12	2	45	0	distractor	1	547	727	5988	13.328	13.102	13.563
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124512	single-task	8	0.013328	60	0	60-180	60	107	NoGap	1	13	2	6	1	target	1	640	680	6668	13.328	13.304	13.351
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124517	single-task	8	0.013328	60	0	60-180	60	69	NoGap	1	14	2	1	1	target	1	667	667	7335	13.328	13.297	13.364
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124522	single-task	8	0.013328	60	0	60-180	60	142	NoGap	1	15	2	1	1	target	1	587	707	8042	13.328	13.109	13.557
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124528	single-task	8	0.013328	60	0	60-180	60	156	NoGap	1	16	2	6	1	target	1	374	813	8855	13.328	13.098	13.552
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124534	single-task	8	0.013328	60	0	60-180	60	132	NoGap	1	17	2	1	0	distractor	1	654	673	9528	13.328	12.830	13.812
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124540	single-task	8	0.013328	60	0	60-180	60	155	NoGap	1	18	2	9	0	distractor	1	627	687	10215	13.328	12.880	13.776
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124546	single-task	8	0.013328	60	0	60-180	60	145	NoGap	1	19	2	45	0	distractor	1	454	773	10988	13.328	12.923	13.740
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124552	single-task	8	0.013328	60	0	60-180	60	80	NoGap	1	20	2	9	1	target	1	440	780	11768	13.328	13.298	13.349
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124557	single-task	8	0.013328	60	0	60-180	60	94	NoGap	1	21	2	3	1	target	1	387	807	12575	13.328	12.904	13.766
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124602	single-task	8	0.013328	60	0	60-180	60	104	NoGap	1	22	2	3	1	target	1	427	787	13362	13.328	12.910	13.752
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124607	single-task	8	0.013328	60	0	60-180	60	129	NoGap	1	23	2	3	0	distractor	1	560	720	14082	13.328	13.302	13.360
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124613	single-task	8	0.013328	60	0	60-180	60	134	NoGap	1	24	2	1	0	distractor	1	440	780	14862	13.328	13.308	13.352
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124618	single-task	8	0.013328	60	0	60-180	60	149	NoGap	1	25	2	1	0	distractor	1	760	620	15482	13.328	13.191	13.470
DTProbeTrack03	19	ProbeTrackDT	1.1	SCS215a	20110128.124352	20110128.124624	single-task	8	0.013328	60	0	60-180	60	113	NoGap	1	26	2	45	1	target	1	547	727	16209	13.328	12.918	13.735
