identifier,hz,nObjects,nTargets,cueDuration,gapDuration,SOA,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,wrongKeyFlag,RT
js,75,8,4,60,0,24,60,180,60,1,1,87,2,1,1,-1
js,75,8,4,60,0,6,60,180,60,1,2,170,2,1,1,-1
js,75,8,4,60,0,6,60,180,60,1,3,61,1,0,0,862
js,75,8,4,60,0,12,60,180,60,1,4,131,2,0,0,942
js,75,8,4,60,0,6,60,180,60,1,5,126,1,0,0,542
js,75,8,4,60,0,0,60,180,60,2,1,126,1,0,0,542
js,75,8,4,60,0,6,60,180,60,2,2,123,2,0,0,502
js,75,8,4,60,0,24,60,180,60,2,3,148,1,0,0,662
js,75,8,4,60,0,24,60,180,60,2,4,142,1,1,0,702
js,75,8,4,60,0,0,60,180,60,2,5,93,2,0,0,702
js,75,8,4,60,0,6,60,180,60,2,6,175,1,0,0,582
js,75,8,4,60,0,6,60,180,60,2,7,175,1,0,0,502
js,75,8,4,60,0,24,60,180,60,2,8,175,1,0,0,662
js,75,8,4,60,0,6,60,180,60,2,9,151,1,0,0,582
js,75,8,4,60,0,0,60,180,60,2,10,79,1,0,0,582
js,75,8,4,60,0,12,60,180,60,2,11,167,1,0,0,582
js,75,8,4,60,0,24,60,180,60,2,12,131,2,0,0,502
js,75,8,4,60,0,0,60,180,60,2,13,68,1,0,0,582
js,75,8,4,60,0,6,60,180,60,2,14,168,1,0,0,622
js,75,8,4,60,0,6,60,180,60,2,15,167,1,0,0,542
js,75,8,4,60,0,6,60,180,60,2,16,140,1,0,0,582
js,75,8,4,60,0,6,60,180,60,2,17,105,2,0,0,662
js,75,8,4,60,0,12,60,180,60,2,18,147,2,0,0,662
js,75,8,4,60,0,24,60,180,60,2,19,166,2,0,0,542
js,75,8,4,60,0,96,60,180,60,2,20,104,1,0,0,422
js,75,8,4,60,0,24,60,180,60,2,21,76,2,0,0,542
js,75,8,4,60,0,6,60,180,60,2,22,127,1,1,0,462
js,75,8,4,60,0,0,60,180,60,2,23,165,2,0,0,542
