exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143641	8	0.013328	60	0	60-180	60	89	NoGap	1	1	2	0	0	target	0	1173	-1000	-1000	13.328	12.936	13.718
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143654	8	0.013328	60	0	60-180	60	118	NoGap	1	2	2	1	0	distractor	1	613	694	-306	13.328	13.092	13.551
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143711	8	0.013328	60	0	60-180	60	134	NoGap	1	3	2	1	1	target	1	467	767	461	13.328	12.937	13.698
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143718	8	0.013328	60	0	60-180	60	113	NoGap	1	4	2	45	1	target	1	414	793	1254	13.328	13.307	13.344
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143728	8	0.013328	60	0	60-180	60	86	NoGap	1	5	2	3	0	distractor	1	627	687	1941	13.328	13.101	13.538
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143739	8	0.013328	60	0	60-180	60	179	NoGap	1	6	2	1	1	target	1	387	807	2748	13.328	13.092	13.550
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143746	8	0.013328	60	0	60-180	60	85	NoGap	1	7	2	3	1	distractor	0	387	-1000	1748	13.328	12.873	13.794
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143752	8	0.013328	60	0	60-180	60	149	NoGap	1	8	2	1	0	distractor	1	560	720	2468	13.328	12.855	13.805
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143759	8	0.013328	60	0	60-180	60	127	NoGap	1	9	2	0	1	target	1	573	714	3182	13.328	13.111	13.559
ProbeTrack11	23	ProbeTrack	11.2	SCS215a	20101117.143613	20101117.143806	8	0.013328	60	0	60-180	60	176	NoGap	1	10	2	3	0	distractor	1	560	720	3902	13.328	13.039	13.617
