exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.094541	20100812.094549	8	0.013328	60	0	60-180	60	169	NoGap	1	1	2	3	0	83	-3	600	-1000	-1000	13.328	12.992	13.664
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.094541	20100812.094556	8	0.013328	60	0	60-180	60	113	NoGap	1	2	2	45	0	distractor	1	760	620	-380	13.328	13.266	13.390
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104538	8	0.013328	60	0	60-180	60	76	NoGap	1	1	2	3	1	target	1	7677	0	-380	13.328	13.294	13.346
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104644	8	0.013328	60	0	60-180	60	64	NoGap	1	2	2	3	1	target	1	2559	0	-380	13.328	13.097	13.558
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104654	8	0.013328	60	0	60-180	60	132	NoGap	1	3	2	45	1	target	1	1373	314	-66	13.328	13.307	13.358
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104735	8	0.013328	60	0	60-180	60	94	NoGap	1	4	2	0	0	distractor	1	1933	34	-32	13.328	13.308	13.347
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104745	8	0.013328	60	0	60-180	60	171	NoGap	1	5	2	3	1	target	1	614	693	661	13.328	13.214	13.438
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104753	8	0.013328	60	0	60-180	60	81	NoGap	1	6	2	0	1	target	1	680	660	1321	13.328	13.308	13.348
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104759	8	0.013328	60	0	60-180	60	104	NoGap	1	7	2	0	1	target	1	534	733	2054	13.328	13.304	13.356
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104806	8	0.013328	60	0	60-180	60	124	NoGap	1	8	2	3	0	distractor	1	1373	314	2368	13.328	13.107	13.548
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104818	8	0.013328	60	0	60-180	60	131	NoGap	1	9	2	3	1	target	1	720	640	3008	13.328	13.107	13.560
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104826	8	0.013328	60	0	60-180	60	162	NoGap	1	10	2	45	1	target	1	1706	147	3155	13.328	12.974	13.691
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104834	8	0.013328	60	0	60-180	60	175	NoGap	1	11	2	3	1	target	1	1706	147	3302	13.328	13.092	13.568
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104855	8	0.013328	60	0	60-180	60	148	NoGap	1	12	2	45	0	distractor	1	1293	354	3656	13.328	13.115	13.538
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104907	8	0.013328	60	0	60-180	60	88	NoGap	1	13	2	0	0	distractor	1	1666	167	3823	13.328	13.308	13.346
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104915	8	0.013328	60	0	60-180	60	90	NoGap	1	14	2	45	1	target	1	1546	227	4050	13.328	13.300	13.352
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104926	8	0.013328	60	0	60-180	60	123	NoGap	1	15	2	45	0	distractor	1	1333	334	4384	13.328	13.080	13.571
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.104947	8	0.013328	60	0	60-180	60	96	NoGap	1	16	2	0	1	target	1	1386	307	4691	13.328	13.107	13.557
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105002	8	0.013328	60	0	60-180	60	69	NoGap	1	17	2	45	1	target	1	1133	434	5125	13.328	12.911	13.762
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105011	8	0.013328	60	0	60-180	60	178	NoGap	1	18	2	1	1	target	1	2199	0	5125	13.328	13.099	13.535
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105020	8	0.013328	60	0	60-180	60	150	NoGap	1	19	2	1	0	distractor	1	2932	0	5125	13.328	12.927	13.733
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105032	8	0.013328	60	0	60-180	60	140	NoGap	1	20	2	1	1	target	1	2000	0	5125	13.328	12.869	13.781
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105046	8	0.013328	60	0	60-180	60	157	NoGap	1	21	2	1	0	distractor	1	1800	100	5225	13.328	13.097	13.571
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105059	8	0.013328	60	0	60-180	60	115	NoGap	1	22	2	1	0	distractor	1	1813	94	5319	13.328	13.079	13.560
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105109	8	0.013328	60	0	60-180	60	144	NoGap	1	23	2	3	0	distractor	1	1560	220	5539	13.328	13.308	13.346
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105125	8	0.013328	60	0	60-180	60	96	NoGap	1	24	2	0	1	target	1	1880	60	5599	13.328	13.308	13.346
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105139	8	0.013328	60	0	60-180	60	114	NoGap	1	25	2	0	0	distractor	1	2319	0	5599	13.328	13.087	13.566
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105148	8	0.013328	60	0	60-180	60	155	NoGap	1	26	2	45	0	distractor	1	3692	0	5599	13.328	13.135	13.534
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105201	8	0.013328	60	0	60-180	60	67	NoGap	1	27	2	45	0	distractor	1	2586	0	5599	13.328	13.278	13.382
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105215	8	0.013328	60	0	60-180	60	80	NoGap	1	28	2	3	0	distractor	1	2040	0	5599	13.328	13.310	13.347
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105233	8	0.013328	60	0	60-180	60	70	NoGap	1	29	2	1	1	target	1	2826	0	5599	13.328	13.309	13.345
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105243	8	0.013328	60	0	60-180	60	63	NoGap	1	30	2	0	0	distractor	1	2306	0	5599	13.328	13.269	13.379
ProbeTrack11	3	ProbeTrack	11.1	SCS215a	20100812.104534	20100812.105255	8	0.013328	60	0	60-180	60	154	NoGap	1	31	2	45	1	target	1	1466	267	5866	13.328	13.013	13.628
