exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142742	8	0.013328	60	0	60-180	60	108	NoGap	1	1	2	0	0	distractor	1	6678	0	0	13.328	13.089	13.553
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142804	8	0.013328	60	0	60-180	60	73	NoGap	1	2	2	0	0	distractor	1	1906	47	47	13.328	13.307	13.346
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142813	8	0.013328	60	0	60-180	60	110	NoGap	1	3	2	1	0	distractor	1	853	574	621	13.328	13.079	13.564
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142826	8	0.013328	60	0	60-180	60	72	NoGap	1	4	2	1	0	distractor	1	1320	340	961	13.328	12.897	13.764
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142832	8	0.013328	60	0	60-180	60	128	NoGap	1	5	2	0	0	distractor	1	707	647	1608	13.330	12.925	13.799
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142839	8	0.013328	60	0	60-180	60	62	NoGap	1	6	2	0	1	target	1	747	627	2235	13.328	12.897	13.752
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142846	8	0.013328	60	0	60-180	60	92	NoGap	1	7	2	45	0	distractor	1	655	673	2908	13.328	12.906	13.752
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142852	8	0.013328	60	0	60-180	60	91	NoGap	1	8	2	3	1	target	1	667	667	3575	13.328	13.309	13.348
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142858	8	0.013328	60	0	60-180	60	177	NoGap	1	9	2	1	1	target	1	627	687	4262	13.328	12.871	13.794
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142905	8	0.013328	60	0	60-180	60	177	NoGap	1	10	2	1	1	target	1	653	674	4936	13.328	13.059	13.600
ProbeTrack11	21	ProbeTrack	11.2	SCS215a	20101115.142706	20101115.142912	8	0.013328	60	0	60-180	60	103	NoGap	1	11	2	1	1	target	1	587	707	5643	13.328	13.132	13.521
