exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.394077	8	0.013328	60	0	60-180	60	66	NoGap	1	1	4	6	0	38	-3	17367	13.328	13.323	13.333
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.394621	8	0.013328	60	0	60-180	60	107	NoGap	1	2	4	0	0	distractor	1	1746	13.328	13.322	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.394739	8	0.013328	60	0	60-180	60	64	NoGap	1	3	4	96	0	distractor	1	960	13.328	13.323	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.394885	8	0.013328	60	0	60-180	60	122	NoGap	1	4	4	3	1	distractor	0	653	13.328	13.315	13.341
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395114	8	0.013328	60	0	60-180	60	144	NoGap	1	5	4	96	0	distractor	1	667	13.328	13.319	13.337
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395233	8	0.013328	60	0	60-180	60	75	NoGap	1	6	4	96	1	target	1	653	13.328	13.323	13.335
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395340	8	0.013328	60	0	60-180	60	98	NoGap	1	7	4	3	0	distractor	1	640	13.328	13.322	13.333
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395419	8	0.013328	60	0	60-180	60	95	NoGap	1	8	4	3	1	target	1	520	13.328	13.323	13.334
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395491	8	0.013328	60	0	60-180	60	85	NoGap	1	9	4	0	0	distractor	1	493	13.328	13.323	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395568	8	0.013328	60	0	60-180	60	108	NoGap	1	10	4	6	0	distractor	1	334	13.328	13.323	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395640	8	0.013328	60	0	60-180	60	104	NoGap	1	11	4	0	1	distractor	0	587	13.328	13.325	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395716	8	0.013328	60	0	60-180	60	129	NoGap	1	12	4	3	1	distractor	0	440	13.328	13.323	13.333
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395792	8	0.013328	60	0	60-180	60	99	NoGap	1	13	4	96	1	target	1	493	13.328	13.324	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395882	8	0.013328	60	0	60-180	60	107	NoGap	1	14	4	3	0	distractor	1	454	13.328	13.325	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.395967	8	0.013328	60	0	60-180	60	135	NoGap	1	15	4	96	0	target	0	320	13.328	13.321	13.334
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.396064	8	0.013328	60	0	60-180	60	92	NoGap	1	16	4	0	1	target	1	573	13.328	13.324	13.332
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.396134	8	0.013328	60	0	60-180	60	72	NoGap	1	17	4	96	1	target	1	533	13.328	13.323	13.333
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.396214	8	0.013328	60	0	60-180	60	160	NoGap	1	18	4	3	0	distractor	1	747	13.328	13.322	13.333
ProbeTrack7	11	ProbeTrack	1406	SCS215f	733716.391292	733716.396297	8	0.013328	60	0	60-180	60	165	NoGap	1	19	4	0	1	target	1	560	13.328	13.322	13.333
