exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.441865	8	0.013328	60	0	60-180	60	90	NoGap	1	1	4	3	1	target	1	1213	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.441999	8	0.013328	60	0	60-180	60	171	NoGap	1	2	4	96	1	distractor	0	427	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442124	8	0.013328	60	0	60-180	60	145	NoGap	1	3	4	6	0	distractor	1	693	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442228	8	0.013328	60	0	60-180	60	177	NoGap	1	4	4	96	0	distractor	1	667	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442328	8	0.013328	60	0	60-180	60	170	NoGap	1	5	4	6	0	distractor	1	533	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442416	8	0.013328	60	0	60-180	60	90	NoGap	1	6	4	3	0	target	0	600	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442487	8	0.013328	60	0	60-180	60	166	NoGap	1	7	4	6	1	target	1	587	13.328	13.293	13.364
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442568	8	0.013328	60	0	60-180	60	64	NoGap	1	8	4	96	0	distractor	1	613	13.328	13.291	13.365
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442647	8	0.013328	60	0	60-180	60	62	NoGap	1	9	4	0	1	target	1	667	13.328	13.293	13.363
ProbeTrack7	22	ProbeTrack	1406	SCS215b	733718.441504	733718.442715	8	0.013328	60	0	60-180	60	115	NoGap	1	10	4	0	0	distractor	1	440	13.328	13.293	13.363
