exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140540	single-task	8	0.013328	60	0	60-180	60	103	NoGap	1	1	2	30	1	distractor	0	6412	-1000	-1000	13.328	13.108	13.554
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140552	single-task	8	0.013328	60	0	60-180	60	179	NoGap	1	2	2	0	0	target	0	808	-1000	-2000	13.328	12.848	13.802
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140559	single-task	8	0.013328	60	0	60-180	60	161	NoGap	1	3	2	0	0	target	0	2585	-1000	-3000	13.328	13.307	13.351
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140607	single-task	8	0.013328	60	0	60-180	60	176	NoGap	1	4	2	30	1	target	1	2961	0	-3000	13.328	13.110	13.548
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140616	single-task	8	0.013328	60	0	60-180	60	99	NoGap	1	5	2	30	0	target	0	942	-1000	-4000	13.328	13.267	13.376
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140623	single-task	8	0.013328	60	0	60-180	60	66	NoGap	1	6	2	30	0	target	0	1542	-1000	-5000	13.328	12.858	13.798
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140629	single-task	8	0.013328	60	0	60-180	60	176	NoGap	1	7	2	3	0	target	0	1402	-1000	-6000	13.328	13.104	13.558
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140636	single-task	8	0.013328	60	0	60-180	60	87	NoGap	1	8	2	3	0	target	0	7427	-1000	-7000	13.328	13.105	13.563
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140648	single-task	8	0.013328	60	0	60-180	60	104	NoGap	1	9	2	30	1	distractor	0	903	-1000	-8000	13.328	13.308	13.348
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140655	single-task	8	0.013328	60	0	60-180	60	140	NoGap	1	10	2	3	0	distractor	1	1585	208	-7792	13.328	13.309	13.358
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140702	single-task	8	0.013328	60	0	60-180	60	69	NoGap	1	11	2	1	1	target	1	1018	491	-7301	13.328	13.309	13.349
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140707	single-task	8	0.013328	60	0	60-180	60	126	NoGap	1	12	2	3	1	distractor	0	923	-1000	-8301	13.328	12.877	13.786
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140713	single-task	8	0.013328	60	0	60-180	60	120	NoGap	1	13	2	3	1	target	1	1942	29	-8272	13.328	13.032	13.624
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140720	single-task	8	0.013328	60	0	60-180	60	113	NoGap	1	14	2	1	1	target	1	810	595	-7677	13.328	13.003	13.655
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140726	single-task	8	0.013328	60	0	60-180	60	92	NoGap	1	15	2	1	0	distractor	1	1234	383	-7294	13.328	13.296	13.345
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140732	single-task	8	0.013328	60	0	60-180	60	132	NoGap	1	16	2	0	1	target	1	758	621	-6673	13.328	13.098	13.556
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140738	single-task	8	0.013328	60	0	60-180	60	147	NoGap	1	17	2	0	0	distractor	1	1153	424	-6249	13.328	12.902	13.757
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140744	single-task	8	0.013328	60	0	60-180	60	174	NoGap	1	18	2	1	0	distractor	1	1349	326	-5923	13.328	13.304	13.357
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140751	single-task	8	0.013328	60	0	60-180	60	118	NoGap	1	19	2	30	1	target	1	849	576	-5347	13.328	13.299	13.356
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140758	single-task	8	0.013328	60	0	60-180	60	179	NoGap	1	20	2	30	1	target	1	1059	471	-4876	13.328	13.071	13.584
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140805	single-task	8	0.013328	60	0	60-180	60	106	NoGap	1	21	2	1	1	target	1	728	636	-4240	13.328	13.310	13.347
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140811	single-task	8	0.013328	60	0	60-180	60	173	NoGap	1	22	2	3	1	target	1	553	724	-3516	13.328	13.310	13.349
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140817	single-task	8	0.013328	60	0	60-180	60	133	NoGap	1	23	2	0	1	target	1	574	713	-2803	13.328	12.854	13.821
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140823	single-task	8	0.013328	60	0	60-180	60	142	NoGap	1	24	2	1	1	target	1	585	708	-2095	13.328	13.046	13.607
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140829	single-task	8	0.013328	60	0	60-180	60	115	NoGap	1	25	2	3	1	target	1	538	731	-1364	13.328	13.001	13.665
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140835	single-task	8	0.013328	60	0	60-180	60	81	NoGap	1	26	2	0	1	target	1	584	708	-656	13.328	13.301	13.356
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140840	single-task	8	0.013328	60	0	60-180	60	163	NoGap	1	27	2	1	0	distractor	1	637	682	26	13.328	12.958	13.691
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140846	single-task	8	0.013328	60	0	60-180	60	63	NoGap	1	28	2	30	0	distractor	1	750	625	651	13.328	13.307	13.348
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140851	single-task	8	0.013328	60	0	60-180	60	119	NoGap	1	29	2	0	0	distractor	1	977	512	1163	13.328	12.964	13.692
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140857	single-task	8	0.013328	60	0	60-180	60	136	NoGap	1	30	2	0	1	target	1	938	531	1694	13.328	12.878	13.784
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140904	single-task	8	0.013328	60	0	60-180	60	153	NoGap	1	31	2	0	0	distractor	1	878	561	2255	13.328	12.887	13.757
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140910	single-task	8	0.013328	60	0	60-180	60	66	NoGap	1	32	2	30	0	distractor	1	1020	490	2745	13.328	13.098	13.551
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140916	single-task	8	0.013328	60	0	60-180	60	82	NoGap	1	33	2	1	0	distractor	1	708	646	3391	13.328	13.284	13.365
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140921	single-task	8	0.013328	60	0	60-180	60	107	NoGap	1	34	2	0	1	target	1	970	515	3906	13.328	13.301	13.356
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140927	single-task	8	0.013328	60	0	60-180	60	82	NoGap	1	35	2	30	0	distractor	1	894	553	4459	13.328	13.092	13.563
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140933	single-task	8	0.013328	60	0	60-180	60	164	NoGap	1	36	2	1	0	distractor	1	778	611	5070	13.328	13.092	13.553
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140939	single-task	8	0.013328	60	0	60-180	60	71	NoGap	1	37	2	1	1	target	1	803	599	5669	13.328	13.307	13.347
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140945	single-task	8	0.013328	60	0	60-180	60	137	NoGap	1	38	2	3	0	distractor	1	730	635	6304	13.328	13.011	13.637
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140951	single-task	8	0.013328	60	0	60-180	60	79	NoGap	1	39	2	3	1	target	1	980	510	6814	13.328	13.310	13.347
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.140524	20120419.140956	single-task	8	0.013328	60	0	60-180	60	71	NoGap	1	40	2	3	0	distractor	1	839	581	7395	13.328	12.886	13.755
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141207	dt-shadow	8	0.013327	60	10	60-180	60	166	GapPrac	1	1	2	30	0	target	0	679	-1000	6395	13.328	13.097	13.556
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141215	dt-shadow	8	0.013327	60	10	60-180	60	64	GapPrac	1	2	2	1	1	target	1	1957	22	6417	13.328	6.887	19.797
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141221	dt-shadow	8	0.013327	60	10	60-180	60	176	GapPrac	1	3	2	0	0	distractor	1	2086	0	6417	13.328	7.747	18.916
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141229	dt-shadow	8	0.013327	60	10	60-180	60	170	GapPrac	1	4	2	30	1	target	1	1494	253	6670	13.327	9.652	16.998
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141237	dt-shadow	8	0.013327	60	10	60-180	60	164	GapPrac	1	5	2	0	0	distractor	1	1531	235	6905	13.328	12.934	13.727
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141244	dt-shadow	8	0.013327	60	10	60-180	60	102	GapPrac	1	6	2	3	1	target	1	1248	376	7281	13.435	7.654	28.858
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141251	dt-shadow	8	0.013327	60	10	60-180	60	75	GapPrac	1	7	2	30	1	target	1	1439	281	7562	13.328	8.745	17.907
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141257	dt-shadow	8	0.013327	60	10	60-180	60	66	GapPrac	1	8	2	0	1	target	1	1237	382	7944	13.328	13.105	13.550
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141303	dt-shadow	8	0.013327	60	10	60-180	60	130	GapPrac	1	9	2	1	1	target	1	1190	405	8349	13.328	12.823	13.851
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141309	dt-shadow	8	0.013327	60	10	60-180	60	131	GapPrac	1	10	2	3	1	target	1	1298	351	8700	13.328	10.774	15.870
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141316	dt-shadow	8	0.013327	60	10	60-180	60	168	GapPrac	1	11	2	1	1	target	1	1201	400	9100	13.328	11.159	15.490
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141323	dt-shadow	8	0.013327	60	10	60-180	60	99	GapPrac	1	12	2	3	0	distractor	1	1385	308	9408	13.328	6.026	20.681
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141329	dt-shadow	8	0.013327	60	10	60-180	60	170	GapPrac	1	13	2	30	0	distractor	1	969	516	9924	13.328	7.991	18.730
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141336	dt-shadow	8	0.013327	60	10	60-180	60	118	GapPrac	1	14	2	3	0	distractor	1	1129	436	10360	13.328	6.437	20.241
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141343	dt-shadow	8	0.013327	60	10	60-180	60	87	GapPrac	1	15	2	30	0	distractor	1	1014	493	10853	13.328	13.289	13.360
TrackDT01	4	TrackDT	1.0	SCS215a	20120419.141151	20120419.141349	dt-shadow	8	0.013327	60	10	60-180	60	161	GapPrac	1	16	2	1	0	distractor	1	1151	425	11278	13.328	12.870	13.793
