exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140918	single-task	8	0.013327	60	0	60-180	60	62	NoGap	1	1	2	0	0	distractor	1	1381	310	310	13.328	13.307	13.343
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140924	single-task	8	0.013327	60	0	60-180	60	108	NoGap	1	2	2	0	0	distractor	1	787	607	917	13.328	9.412	17.228
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140929	single-task	8	0.013327	60	0	60-180	60	67	NoGap	1	3	2	0	1	target	1	326	837	1754	13.328	13.272	13.378
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140934	single-task	8	0.013327	60	0	60-180	60	176	NoGap	1	4	2	1	1	target	1	497	752	2506	13.328	11.091	15.556
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140940	single-task	8	0.013327	60	0	60-180	60	140	NoGap	1	5	2	3	0	distractor	1	778	611	3117	13.328	13.099	13.551
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140946	single-task	8	0.013327	60	0	60-180	60	71	NoGap	1	6	2	30	0	distractor	1	567	717	3834	13.328	13.305	13.359
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140951	single-task	8	0.013327	60	0	60-180	60	108	NoGap	1	7	2	30	0	distractor	1	509	746	4580	13.328	9.884	16.766
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.140957	single-task	8	0.013327	60	0	60-180	60	96	NoGap	1	8	2	1	0	distractor	1	437	782	5362	13.328	13.307	13.343
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141003	single-task	8	0.013327	60	0	60-180	60	96	NoGap	1	9	2	1	1	target	1	387	807	6169	13.328	13.309	13.345
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141008	single-task	8	0.013327	60	0	60-180	60	151	NoGap	1	10	2	3	0	distractor	1	487	757	6926	13.328	13.092	13.564
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141013	single-task	8	0.013327	60	0	60-180	60	163	NoGap	1	11	2	1	0	distractor	1	442	779	7705	13.328	8.785	17.859
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141019	single-task	8	0.013327	60	0	60-180	60	87	NoGap	1	12	2	3	0	distractor	1	499	751	8456	13.328	8.838	17.833
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141024	single-task	8	0.013327	60	0	60-180	60	134	NoGap	1	13	2	30	1	target	1	398	801	9257	13.328	11.899	14.765
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141031	single-task	8	0.013327	60	0	60-180	60	180	NoGap	1	14	2	30	1	target	1	388	806	10063	13.328	10.486	16.178
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141037	single-task	8	0.013327	60	0	60-180	60	160	NoGap	1	15	2	30	1	target	1	361	820	10883	13.328	12.426	14.224
TrackDT01	8	TrackDT	1.0	SCS215a	20120426.140901	20120426.141044	single-task	8	0.013327	60	0	60-180	60	63	NoGap	1	16	2	1	1	target	1	414	793	11676	13.328	12.297	14.373
