exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161226	single-task	8	0.013328	60	0	60-180	60	118	NoGap	1	1	2	1	1	target	1	388	806	806	13.328	9.213	17.444
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161232	single-task	8	0.013328	60	0	60-180	60	94	NoGap	1	2	2	6	0	distractor	1	564	718	1524	13.328	13.108	13.554
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161237	single-task	8	0.013328	60	0	60-180	60	76	NoGap	1	3	2	6	0	distractor	1	573	714	2238	13.328	13.305	13.345
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161242	single-task	8	0.013328	60	0	60-180	60	95	NoGap	1	4	2	30	0	distractor	1	565	718	2956	13.328	13.301	13.353
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161248	single-task	8	0.013328	60	0	60-180	60	77	NoGap	1	5	2	1	0	distractor	1	468	766	3722	13.328	13.104	13.566
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161253	single-task	8	0.013328	60	0	60-180	60	177	NoGap	1	6	2	1	0	distractor	1	636	682	4404	13.328	7.841	18.853
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161259	single-task	8	0.013328	60	0	60-180	60	153	NoGap	1	7	2	6	1	distractor	0	409	-1000	3404	13.328	13.099	13.546
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161305	single-task	8	0.013328	60	0	60-180	60	71	NoGap	1	8	2	0	1	target	1	487	757	4161	13.328	13.307	13.350
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161310	single-task	8	0.013328	60	0	60-180	60	61	NoGap	1	9	2	0	1	target	1	405	798	4959	13.328	13.302	13.349
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161315	single-task	8	0.013328	60	0	60-180	60	118	NoGap	1	10	2	30	0	distractor	1	453	774	5733	13.328	10.415	16.290
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161321	single-task	8	0.013328	60	0	60-180	60	101	NoGap	1	11	2	30	1	target	1	352	824	6557	13.328	11.848	14.830
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161326	single-task	8	0.013328	60	0	60-180	60	120	NoGap	1	12	2	1	1	target	1	507	747	7304	13.328	13.310	13.348
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161331	single-task	8	0.013328	60	0	60-180	60	88	NoGap	1	13	2	3	1	target	1	384	808	8112	13.328	13.299	13.351
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161337	single-task	8	0.013328	60	0	60-180	60	151	NoGap	1	14	2	0	0	distractor	1	459	771	8883	13.328	12.042	14.622
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161343	single-task	8	0.013328	60	0	60-180	60	98	NoGap	1	15	2	30	1	target	1	409	796	9679	13.328	13.099	13.552
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161348	single-task	8	0.013328	60	0	60-180	60	134	NoGap	1	16	2	1	1	target	1	546	727	10406	13.328	12.685	13.960
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161354	single-task	8	0.013328	60	0	60-180	60	74	NoGap	1	17	2	6	1	target	1	369	816	11222	13.328	13.307	13.350
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161359	single-task	8	0.013328	60	0	60-180	60	80	NoGap	1	18	2	3	0	distractor	1	515	743	11965	13.328	13.084	13.559
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161404	single-task	8	0.013328	60	0	60-180	60	122	NoGap	1	19	2	6	0	distractor	1	588	706	12671	13.329	8.968	17.702
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161410	single-task	8	0.013328	60	0	60-180	60	96	NoGap	1	20	2	0	0	distractor	1	474	763	13434	13.328	13.308	13.350
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161415	single-task	8	0.013328	60	0	60-180	60	177	NoGap	1	21	2	0	1	target	1	329	836	14270	13.328	12.297	14.362
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161421	single-task	8	0.013328	60	0	60-180	60	127	NoGap	1	22	2	30	1	target	1	468	766	15036	13.328	13.307	13.354
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161427	single-task	8	0.013328	60	0	60-180	60	69	NoGap	1	23	2	6	0	distractor	1	465	768	15804	13.328	13.085	13.552
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161432	single-task	8	0.013328	60	0	60-180	60	73	NoGap	1	24	2	6	1	target	1	487	757	16561	13.328	13.299	13.357
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161436	single-task	8	0.013328	60	0	60-180	60	116	NoGap	1	25	2	0	1	distractor	0	448	-1000	15561	13.328	13.310	13.350
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161442	single-task	8	0.013328	60	0	60-180	60	90	NoGap	1	26	2	30	0	target	0	585	-1000	14561	13.328	9.510	17.141
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161448	single-task	8	0.013328	60	0	60-180	60	127	NoGap	1	27	2	1	1	target	1	553	724	15285	13.328	13.086	13.559
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161453	single-task	8	0.013328	60	0	60-180	60	161	NoGap	1	28	2	3	0	distractor	1	575	713	15998	13.328	13.100	13.557
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161500	single-task	8	0.013328	60	0	60-180	60	132	NoGap	1	29	2	3	0	distractor	1	533	734	16732	13.328	13.112	13.545
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161505	single-task	8	0.013328	60	0	60-180	60	96	NoGap	1	30	2	6	1	distractor	0	667	-1000	15732	13.328	13.307	13.357
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161511	single-task	8	0.013328	60	0	60-180	60	121	NoGap	1	31	2	6	1	target	1	377	812	16544	13.328	10.207	16.439
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161517	single-task	8	0.013328	60	0	60-180	60	141	NoGap	1	32	2	3	1	target	1	483	759	17303	13.328	11.932	14.733
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161522	single-task	8	0.013328	60	0	60-180	60	164	NoGap	1	33	2	30	1	target	1	375	813	18116	13.328	12.351	14.312
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161529	single-task	8	0.013328	60	0	60-180	60	150	NoGap	1	34	2	0	0	distractor	1	593	704	18820	13.328	13.080	13.570
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161534	single-task	8	0.013328	60	0	60-180	60	77	NoGap	1	35	2	3	1	target	1	443	779	19599	13.328	13.307	13.349
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161539	single-task	8	0.013328	60	0	60-180	60	125	NoGap	1	36	2	1	0	distractor	1	491	755	20354	13.328	13.309	13.359
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161545	single-task	8	0.013328	60	0	60-180	60	153	NoGap	1	37	2	1	1	target	1	445	778	21132	13.328	12.837	13.813
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161551	single-task	8	0.013328	60	0	60-180	60	74	NoGap	1	38	2	30	0	distractor	1	331	835	21967	13.328	8.948	17.718
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161556	single-task	8	0.013328	60	0	60-180	60	80	NoGap	1	39	2	1	0	distractor	1	499	751	22718	13.328	11.792	14.867
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161601	single-task	8	0.013328	60	0	60-180	60	119	NoGap	1	40	2	1	0	distractor	1	531	735	23453	13.328	13.140	13.489
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161607	single-task	8	0.013328	60	0	60-180	60	86	NoGap	1	41	2	3	0	distractor	1	516	742	24195	13.328	7.340	19.322
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161612	single-task	8	0.013328	60	0	60-180	60	63	NoGap	1	42	2	30	0	distractor	1	452	774	24969	13.328	12.817	13.845
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161617	single-task	8	0.013328	60	0	60-180	60	88	NoGap	1	43	2	3	0	target	0	752	-1000	23969	13.328	13.128	13.530
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161622	single-task	8	0.013328	60	0	60-180	60	121	NoGap	1	44	2	3	1	target	1	576	712	24681	13.328	13.302	13.355
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161628	single-task	8	0.013328	60	0	60-180	60	155	NoGap	1	45	2	0	0	distractor	1	513	744	25425	13.328	13.293	13.376
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161634	single-task	8	0.013328	60	0	60-180	60	145	NoGap	1	46	2	3	1	target	1	407	797	26222	13.328	13.219	13.456
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161640	single-task	8	0.013328	60	0	60-180	60	62	NoGap	1	47	2	30	1	target	1	551	725	26947	13.328	11.203	15.441
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161645	single-task	8	0.013328	60	0	60-180	60	161	NoGap	1	48	2	6	0	distractor	1	506	747	27694	13.328	7.518	19.138
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161651	single-task	8	0.013328	60	0	60-180	60	81	NoGap	1	49	2	0	1	target	1	511	745	28439	13.328	10.275	16.531
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161216	20121114.161656	single-task	8	0.013328	60	0	60-180	60	94	NoGap	1	50	2	0	0	distractor	1	561	720	29159	13.391	5.800	24.469
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.161949	single-task	8	0.013328	60	10	60-180	60	62	GapPrac	1	1	2	1	1	target	1	2956	0	29159	13.328	13.307	13.350
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.161957	single-task	8	0.013328	60	10	60-180	60	129	GapPrac	1	2	2	6	1	target	1	1100	450	29609	13.328	12.860	13.805
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162004	single-task	8	0.013328	60	10	60-180	60	131	GapPrac	1	3	2	0	0	target	0	807	-1000	28609	13.328	12.862	13.802
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162010	single-task	8	0.013328	60	10	60-180	60	80	GapPrac	1	4	2	0	1	target	1	561	720	29329	13.328	13.044	13.616
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162015	single-task	8	0.013328	60	10	60-180	60	83	GapPrac	1	5	2	30	1	target	1	482	759	30088	13.328	12.884	13.790
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162021	single-task	8	0.013328	60	10	60-180	60	122	GapPrac	1	6	2	6	1	target	1	425	788	30876	13.328	13.105	13.548
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162026	single-task	8	0.013328	60	10	60-180	60	139	GapPrac	1	7	2	3	1	target	1	397	802	31678	13.328	13.013	13.654
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162032	single-task	8	0.013328	60	10	60-180	60	154	GapPrac	1	8	2	1	0	distractor	1	477	762	32440	13.328	13.288	13.357
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162039	single-task	8	0.013328	60	10	60-180	60	85	GapPrac	1	9	2	3	1	target	1	415	793	33233	13.328	13.307	13.350
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162044	single-task	8	0.013328	60	10	60-180	60	149	GapPrac	1	10	2	1	1	target	1	480	760	33993	13.328	12.841	13.819
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162050	single-task	8	0.013328	60	10	60-180	60	121	GapPrac	1	11	2	30	0	distractor	1	508	746	34739	13.328	12.861	13.790
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162056	single-task	8	0.013328	60	10	60-180	60	90	GapPrac	1	12	2	30	1	target	1	516	742	35481	13.328	13.129	13.518
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162101	single-task	8	0.013328	60	10	60-180	60	177	GapPrac	1	13	2	3	0	distractor	1	535	733	36214	13.328	12.869	13.803
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162108	single-task	8	0.013328	60	10	60-180	60	109	GapPrac	1	14	2	6	0	distractor	1	534	733	36947	13.328	13.307	13.356
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162114	single-task	8	0.013328	60	10	60-180	60	90	GapPrac	1	15	2	0	0	distractor	1	573	714	37661	13.328	12.930	13.713
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162119	single-task	8	0.013328	60	10	60-180	60	139	GapPrac	1	16	2	0	1	target	1	472	764	38425	13.328	13.063	13.601
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162125	single-task	8	0.013328	60	10	60-180	60	99	GapPrac	1	17	2	1	0	target	0	613	-1000	37425	13.328	13.085	13.558
TrackDT02	1	TrackDT	2.0	SCS215a	20121114.161943	20121114.162130	single-task	8	0.013328	60	10	60-180	60	116	GapPrac	1	18	2	6	0	distractor	1	448	776	38201	13.328	13.307	13.345
