exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154208	single-task	8	0.013328	60	0	60-180	60	180	NoGap	1	1	2	1	0	distractor	1	3905	0	0	13.328	9.788	16.874
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154219	single-task	8	0.013328	60	0	60-180	60	123	NoGap	1	2	2	6	1	target	1	636	682	682	13.328	12.788	13.861
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154225	single-task	8	0.013328	60	0	60-180	60	168	NoGap	1	3	2	30	0	distractor	1	670	665	1347	13.328	13.103	13.545
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154231	single-task	8	0.013328	60	0	60-180	60	127	NoGap	1	4	2	0	0	distractor	1	685	658	2005	13.328	6.448	20.208
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154237	single-task	8	0.013328	60	0	60-180	60	160	NoGap	1	5	2	0	0	early	-4	-1690	-1000	1005	13.328	13.302	13.355
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154243	single-task	8	0.013328	60	0	60-180	60	140	NoGap	1	6	2	0	0	distractor	1	620	690	1695	13.328	13.288	13.369
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154249	single-task	8	0.013328	60	0	60-180	60	108	NoGap	1	7	2	3	1	distractor	0	405	-1000	695	13.328	10.289	16.366
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154255	single-task	8	0.013328	60	0	60-180	60	140	NoGap	1	8	2	3	0	target	0	579	-1000	-305	13.328	13.092	13.564
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154300	single-task	8	0.013328	60	0	60-180	60	83	NoGap	1	9	2	1	0	distractor	1	765	618	313	13.328	11.397	15.246
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154305	single-task	8	0.013328	60	0	60-180	60	66	NoGap	1	10	2	3	0	distractor	1	865	568	881	13.328	11.311	15.337
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154310	single-task	8	0.013328	60	0	60-180	60	110	NoGap	1	11	2	0	1	target	1	612	694	1575	13.328	13.304	13.350
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154316	single-task	8	0.013328	60	0	60-180	60	64	NoGap	1	12	2	30	1	distractor	0	440	-1000	575	13.328	13.092	13.551
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154321	single-task	8	0.013328	60	0	60-180	60	69	NoGap	1	13	2	3	0	target	0	621	-1000	-425	13.328	13.065	13.591
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154326	single-task	8	0.013328	60	0	60-180	60	145	NoGap	1	14	2	3	1	target	1	497	752	327	13.328	11.527	15.123
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154332	single-task	8	0.013328	60	0	60-180	60	123	NoGap	1	15	2	6	1	distractor	0	633	-1000	-673	13.328	13.297	13.349
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154337	single-task	8	0.013328	60	0	60-180	60	165	NoGap	1	16	2	1	1	target	1	561	720	47	13.328	12.078	14.578
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154344	single-task	8	0.013328	60	0	60-180	60	67	NoGap	1	17	2	1	0	target	0	585	-1000	-953	13.328	13.302	13.352
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154348	single-task	8	0.013328	60	0	60-180	60	108	NoGap	1	18	2	3	0	distractor	1	501	750	-203	13.328	12.711	13.953
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154354	single-task	8	0.013328	60	0	60-180	60	127	NoGap	1	19	2	1	1	target	1	596	702	499	13.328	11.865	14.791
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154400	single-task	8	0.013328	60	0	60-180	60	143	NoGap	1	20	2	6	1	target	1	501	750	1249	13.328	13.304	13.347
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154405	single-task	8	0.013328	60	0	60-180	60	149	NoGap	1	21	2	0	1	target	1	588	706	1955	13.328	13.098	13.543
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154411	single-task	8	0.013328	60	0	60-180	60	146	NoGap	1	22	2	6	0	distractor	1	538	731	2686	13.328	11.503	15.128
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154417	single-task	8	0.013328	60	0	60-180	60	170	NoGap	1	23	2	1	1	distractor	0	538	-1000	1686	13.328	9.651	17.013
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154423	single-task	8	0.013328	60	0	60-180	60	157	NoGap	1	24	2	0	0	distractor	1	697	652	2338	13.328	7.457	19.208
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154430	single-task	8	0.013328	60	0	60-180	60	120	NoGap	1	25	2	1	1	target	1	556	722	3060	13.328	13.009	13.666
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154435	single-task	8	0.013328	60	0	60-180	60	78	NoGap	1	26	2	0	1	target	1	521	740	3800	13.328	12.186	14.455
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154440	single-task	8	0.013328	60	0	60-180	60	93	NoGap	1	27	2	6	0	distractor	1	499	751	4551	13.328	13.099	13.550
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154445	single-task	8	0.013328	60	0	60-180	60	158	NoGap	1	28	2	1	0	distractor	1	459	771	5322	13.328	10.581	16.158
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154451	single-task	8	0.013328	60	0	60-180	60	113	NoGap	1	29	2	30	0	distractor	1	543	729	6051	13.328	10.778	15.879
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154456	single-task	8	0.013328	60	0	60-180	60	161	NoGap	1	30	2	3	0	distractor	1	471	765	6816	13.328	6.370	20.270
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154503	single-task	8	0.013328	60	0	60-180	60	144	NoGap	1	31	2	30	1	distractor	0	497	-1000	5816	13.328	5.170	21.486
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154509	single-task	8	0.013328	60	0	60-180	60	147	NoGap	1	32	2	30	1	target	1	595	703	6519	13.328	13.100	13.563
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154515	single-task	8	0.013328	60	0	60-180	60	84	NoGap	1	33	2	6	1	target	1	747	627	7146	13.328	12.824	13.833
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154520	single-task	8	0.013328	60	0	60-180	60	97	NoGap	1	34	2	3	1	target	1	565	718	7864	13.328	9.298	17.351
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154526	single-task	8	0.013328	60	0	60-180	60	154	NoGap	1	35	2	0	0	distractor	1	649	676	8540	13.328	5.164	21.487
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154532	single-task	8	0.013328	60	0	60-180	60	114	NoGap	1	36	2	0	1	target	1	524	738	9278	13.328	11.607	15.059
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154537	single-task	8	0.013328	60	0	60-180	60	147	NoGap	1	37	2	0	1	target	1	464	768	10046	13.328	7.374	19.270
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154543	single-task	8	0.013328	60	0	60-180	60	168	NoGap	1	38	2	6	0	distractor	1	565	718	10764	13.328	12.878	13.798
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154549	single-task	8	0.013328	60	0	60-180	60	125	NoGap	1	39	2	3	1	target	1	429	786	11550	13.328	13.049	13.607
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154555	single-task	8	0.013328	60	0	60-180	60	120	NoGap	1	40	2	30	1	target	1	566	717	12267	13.328	9.768	16.889
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154600	single-task	8	0.013328	60	0	60-180	60	176	NoGap	1	41	2	1	1	distractor	0	430	-1000	11267	13.328	13.311	13.349
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154606	single-task	8	0.013328	60	0	60-180	60	80	NoGap	1	42	2	30	1	target	1	502	749	12016	13.328	13.290	13.373
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154612	single-task	8	0.013328	60	0	60-180	60	126	NoGap	1	43	2	1	0	distractor	1	735	633	12649	13.328	11.891	14.785
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154618	single-task	8	0.013328	60	0	60-180	60	71	NoGap	1	44	2	30	0	distractor	1	610	695	13344	13.328	13.106	13.540
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154623	single-task	8	0.013328	60	0	60-180	60	105	NoGap	1	45	2	6	1	target	1	624	688	14032	13.328	11.825	14.831
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154628	single-task	8	0.013328	60	0	60-180	60	115	NoGap	1	46	2	6	0	distractor	1	399	801	14833	13.328	10.236	16.427
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154634	single-task	8	0.013328	60	0	60-180	60	165	NoGap	1	47	2	3	1	target	1	544	728	15561	13.328	9.656	16.997
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154640	single-task	8	0.013328	60	0	60-180	60	165	NoGap	1	48	2	30	0	distractor	1	607	697	16258	13.328	8.839	17.823
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154647	single-task	8	0.013328	60	0	60-180	60	80	NoGap	1	49	2	6	0	distractor	1	751	625	16883	13.328	13.092	13.570
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154153	20121204.154652	single-task	8	0.013328	60	0	60-180	60	177	NoGap	1	50	2	30	0	distractor	1	602	699	17582	13.328	10.031	16.431
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154813	single-task	8	0.013328	60	10	60-180	60	82	GapPrac	1	1	2	0	0	distractor	1	737	632	18214	13.328	10.632	16.023
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154819	single-task	8	0.013328	60	10	60-180	60	172	GapPrac	1	2	2	1	0	distractor	1	706	647	18861	13.328	9.344	17.318
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154825	single-task	8	0.013328	60	10	60-180	60	98	GapPrac	1	3	2	6	0	target	0	443	-1000	17861	13.328	11.664	14.995
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154830	single-task	8	0.013328	60	10	60-180	60	87	GapPrac	1	4	2	30	1	target	1	696	652	18513	13.328	6.979	19.679
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154836	single-task	8	0.013328	60	10	60-180	60	170	GapPrac	1	5	2	1	1	target	1	482	759	19272	13.328	7.512	19.144
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154842	single-task	8	0.013328	60	10	60-180	60	141	GapPrac	1	6	2	6	1	target	1	582	709	19981	13.328	13.297	13.355
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154848	single-task	8	0.013328	60	10	60-180	60	151	GapPrac	1	7	2	0	1	target	1	578	711	20692	13.328	10.719	15.937
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154855	single-task	8	0.013328	60	10	60-180	60	118	GapPrac	1	8	2	30	0	distractor	1	571	715	21407	13.328	8.496	18.162
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154901	single-task	8	0.013328	60	10	60-180	60	68	GapPrac	1	9	2	0	0	distractor	1	557	722	22129	13.328	7.648	19.018
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154905	single-task	8	0.013328	60	10	60-180	60	101	GapPrac	1	10	2	30	1	distractor	0	594	-1000	21129	13.328	11.350	15.306
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154911	single-task	8	0.013328	60	10	60-180	60	100	GapPrac	1	11	2	6	1	target	1	565	718	21847	13.328	10.301	16.348
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154917	single-task	8	0.013328	60	10	60-180	60	95	GapPrac	1	12	2	1	1	target	1	496	752	22599	13.328	9.057	17.598
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154922	single-task	8	0.013328	60	10	60-180	60	170	GapPrac	1	13	2	1	0	distractor	1	549	726	23325	13.328	11.115	15.541
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154929	single-task	8	0.013328	60	10	60-180	60	93	GapPrac	1	14	2	0	1	target	1	542	729	24054	13.328	8.224	18.432
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154934	single-task	8	0.013328	60	10	60-180	60	154	GapPrac	1	15	2	30	0	distractor	1	562	719	24773	13.328	7.319	19.343
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154940	single-task	8	0.013328	60	10	60-180	60	157	GapPrac	1	16	2	3	0	target	0	664	-1000	23773	13.328	8.838	17.826
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154946	single-task	8	0.013328	60	10	60-180	60	95	GapPrac	1	17	2	3	1	target	1	567	717	24490	13.328	9.100	17.555
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154952	single-task	8	0.013328	60	10	60-180	60	148	GapPrac	1	18	2	3	0	distractor	1	515	743	25233	13.328	10.086	16.578
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.154958	single-task	8	0.013328	60	10	60-180	60	102	GapPrac	1	19	2	3	1	target	1	696	652	25885	13.328	13.188	13.463
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.154808	20121204.155004	single-task	8	0.013328	60	10	60-180	60	82	GapPrac	1	20	2	6	0	target	0	584	-1000	24885	13.328	13.303	13.343
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.155056	20121204.155102	dt-conversation	8	0.013328	60	10	60-180	60	126	GapExp	1	1	2	30	0	target	0	987	-1000	23885	13.328	12.857	13.806
TrackDT02	4	TrackDT	2.0	SCS215a	20121204.155056	20121204.155109	dt-conversation	8	0.013328	60	10	60-180	60	107	GapExp	1	2	2	3	0	target	0	701	-1000	22885	13.328	13.302	13.366
