exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150416	8	0.013328	60	0	60-180	60	147	NoGap	None	1	1	2	0	0	target	0	864	-1000	-1000	13.375	13.099	13.565
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150536	8	0.013328	60	0	60-180	60	133	NoGap	None	1	2	2	2	1	target	1	513	744	-256	13.328	12.921	13.757
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150543	8	0.013328	60	0	60-180	60	88	NoGap	None	1	3	2	1	1	distractor	0	666	-1000	-1256	13.328	13.308	13.343
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150549	8	0.013328	60	0	60-180	60	143	NoGap	None	1	4	2	0	1	target	1	404	798	-458	13.328	12.867	13.790
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150605	8	0.013328	60	0	60-180	60	92	NoGap	None	1	5	2	6	1	target	1	443	779	321	13.328	13.308	13.346
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150613	8	0.013328	60	0	60-180	60	103	NoGap	None	1	6	2	2	0	distractor	1	756	622	943	13.328	13.032	13.625
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150619	8	0.013328	60	0	60-180	60	99	NoGap	None	1	7	2	45	1	target	1	291	855	1798	13.328	12.880	13.776
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150625	8	0.013328	60	0	60-180	60	98	NoGap	None	1	8	2	6	1	target	1	424	788	2586	13.328	13.118	13.551
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150631	8	0.013328	60	0	60-180	60	104	NoGap	None	1	9	2	0	1	target	1	639	681	3267	13.328	13.102	13.544
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150637	8	0.013328	60	0	60-180	60	178	NoGap	None	1	10	2	0	0	distractor	1	308	846	4113	13.328	13.077	13.562
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150644	8	0.013328	60	0	60-180	60	85	NoGap	None	1	11	2	6	0	distractor	1	763	619	4732	13.328	13.307	13.347
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150650	8	0.013328	60	0	60-180	60	85	NoGap	None	1	12	2	2	0	distractor	1	691	655	5387	13.328	12.844	13.798
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150655	8	0.013328	60	0	60-180	60	135	NoGap	None	1	13	2	6	1	target	1	266	867	6254	13.328	13.305	13.346
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150701	8	0.013328	60	0	60-180	60	118	NoGap	None	1	14	2	45	1	distractor	0	330	-1000	5254	13.328	12.947	13.712
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150707	8	0.013328	60	0	60-180	60	123	NoGap	None	1	15	2	2	0	distractor	1	433	784	6038	13.328	12.998	13.671
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150713	8	0.013328	60	0	60-180	60	79	NoGap	None	1	16	2	1	0	distractor	1	518	741	6779	13.328	13.090	13.567
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150719	8	0.013328	60	0	60-180	60	165	NoGap	None	1	17	2	2	1	target	1	398	801	7580	13.328	13.302	13.355
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150725	8	0.013328	60	0	60-180	60	137	NoGap	None	1	18	2	0	1	target	1	318	841	8421	13.328	13.309	13.356
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150731	8	0.013328	60	0	60-180	60	112	NoGap	None	1	19	2	2	1	target	1	295	853	9274	13.328	13.295	13.355
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150737	8	0.013328	60	0	60-180	60	70	NoGap	None	1	20	2	45	1	target	1	343	829	10103	13.328	13.019	13.628
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150742	8	0.013328	60	0	60-180	60	153	NoGap	None	1	21	2	6	0	distractor	1	363	819	10922	13.328	12.928	13.710
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150748	8	0.013328	60	0	60-180	60	149	NoGap	None	1	22	2	0	0	distractor	1	252	874	11796	13.328	12.873	13.776
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150754	8	0.013328	60	0	60-180	60	164	NoGap	None	1	23	2	45	0	distractor	1	356	822	12618	13.328	13.304	13.348
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150801	8	0.013328	60	0	60-180	60	101	NoGap	None	1	24	2	1	0	distractor	1	710	645	13263	13.328	12.888	13.769
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150807	8	0.013328	60	0	60-180	60	158	NoGap	None	1	25	2	45	1	target	1	355	823	14086	13.328	13.100	13.572
ProbeTrack14	8	ProbeTrack	14.0	SCS215a	20111122.150412	20111122.150814	8	0.013328	60	0	60-180	60	111	NoGap	None	1	26	2	1	1	target	1	420	790	14876	13.328	13.307	13.348
