exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.090942	8	0.013328	60	0	60-180	60	122	NoGap	None	1	1	2	6	1	target	1	2853	0	0	13.379	12.913	13.753
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091027	8	0.013328	60	0	60-180	60	162	NoGap	None	1	2	2	0	0	distractor	1	672	664	664	13.420	13.277	39.971
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091036	8	0.013328	60	0	60-180	60	98	NoGap	None	1	3	2	6	1	target	1	582	709	1373	13.328	13.307	13.345
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091045	8	0.013328	60	0	60-180	60	136	NoGap	None	1	4	2	2	1	target	1	401	800	2173	13.328	13.114	13.545
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091053	8	0.013328	60	0	60-180	60	150	NoGap	None	1	5	2	45	0	distractor	1	469	766	2939	13.327	13.264	13.420
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091103	8	0.013328	60	0	60-180	60	110	NoGap	None	1	6	2	1	0	distractor	1	501	750	3689	13.328	13.288	13.363
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091111	8	0.013328	60	0	60-180	60	117	NoGap	None	1	7	2	0	1	target	1	348	826	4515	13.328	13.308	13.347
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091118	8	0.013328	60	0	60-180	60	167	NoGap	None	1	8	2	45	0	distractor	1	514	743	5258	13.328	12.856	13.795
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091126	8	0.013328	60	0	60-180	60	68	NoGap	None	1	9	2	1	1	target	1	441	780	6038	13.328	13.111	13.558
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091134	8	0.013328	60	0	60-180	60	117	NoGap	None	1	10	2	2	1	target	1	335	833	6871	13.328	13.098	13.550
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091141	8	0.013328	60	0	60-180	60	155	NoGap	None	1	11	2	45	1	distractor	0	349	-1000	5871	13.328	13.032	13.745
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091149	8	0.013328	60	0	60-180	60	88	NoGap	None	1	12	2	0	0	target	0	352	-1000	4871	13.328	12.966	13.698
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091155	8	0.013328	60	0	60-180	60	164	NoGap	None	1	13	2	6	0	distractor	1	502	749	5620	13.328	12.978	13.678
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091205	8	0.013328	60	0	60-180	60	96	NoGap	None	1	14	2	2	0	distractor	1	431	785	6405	13.328	13.303	13.348
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091212	8	0.013328	60	0	60-180	60	77	NoGap	None	1	15	2	0	1	target	1	389	806	7211	13.328	12.976	13.684
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091221	8	0.013328	60	0	60-180	60	105	NoGap	None	1	16	2	6	0	distractor	1	402	799	8010	13.328	13.311	13.348
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091227	8	0.013328	60	0	60-180	60	178	NoGap	None	1	17	2	6	1	target	1	347	827	8837	13.328	13.308	13.345
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091236	8	0.013328	60	0	60-180	60	158	NoGap	None	1	18	2	6	0	distractor	1	446	777	9614	13.328	13.307	13.354
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091247	8	0.013328	60	0	60-180	60	155	NoGap	None	1	19	2	2	0	distractor	1	486	757	10371	13.328	13.284	13.364
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091255	8	0.013328	60	0	60-180	60	173	NoGap	None	1	20	2	1	0	distractor	1	376	812	11183	13.328	13.088	13.567
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091306	8	0.013328	60	0	60-180	60	112	NoGap	None	1	21	2	45	1	target	1	302	849	12032	13.328	13.082	13.604
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091314	8	0.013328	60	0	60-180	60	171	NoGap	None	1	22	2	45	1	target	1	406	797	12829	13.328	12.918	13.731
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091322	8	0.013328	60	0	60-180	60	174	NoGap	None	1	23	2	1	1	target	1	308	846	13675	13.328	13.309	13.348
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091330	8	0.013328	60	0	60-180	60	90	NoGap	None	1	24	2	45	0	distractor	1	399	801	14476	13.328	13.025	13.620
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091339	8	0.013328	60	0	60-180	60	178	NoGap	None	1	25	2	45	0	distractor	1	453	774	15250	13.328	12.869	13.789
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091351	8	0.013328	60	0	60-180	60	167	NoGap	None	1	26	2	1	1	target	1	297	852	16102	13.328	12.898	13.788
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091400	8	0.013328	60	0	60-180	60	106	NoGap	None	1	27	2	0	0	distractor	1	394	803	16905	13.328	12.947	13.717
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091406	8	0.013328	60	0	60-180	60	89	NoGap	None	1	28	2	1	0	distractor	1	542	729	17634	13.328	13.307	13.356
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091413	8	0.013328	60	0	60-180	60	115	NoGap	None	1	29	2	1	0	distractor	1	434	783	18417	13.328	12.972	13.696
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091431	8	0.013328	60	0	60-180	60	77	NoGap	None	1	30	2	45	1	target	1	265	868	19285	13.328	12.858	13.605
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091438	8	0.013328	60	0	60-180	60	80	NoGap	None	1	31	2	6	0	distractor	1	536	732	20017	13.328	12.866	13.794
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091444	8	0.013328	60	0	60-180	60	123	NoGap	None	1	32	2	2	1	target	1	302	849	20866	13.328	13.098	13.558
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091451	8	0.013328	60	0	60-180	60	75	NoGap	None	1	33	2	2	1	target	1	517	742	21608	13.328	13.112	13.552
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091457	8	0.013328	60	0	60-180	60	127	NoGap	None	1	34	2	6	1	target	1	316	842	22450	13.328	13.097	13.558
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091503	8	0.013328	60	0	60-180	60	148	NoGap	None	1	35	2	0	1	target	1	311	845	23295	13.328	12.913	13.756
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091510	8	0.013328	60	0	60-180	60	71	NoGap	None	1	36	2	0	0	distractor	1	426	787	24082	13.328	13.107	13.559
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091518	8	0.013328	60	0	60-180	60	110	NoGap	None	1	37	2	2	0	distractor	1	496	752	24834	13.328	13.105	13.571
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091525	8	0.013328	60	0	60-180	60	99	NoGap	None	1	38	2	0	1	target	1	260	870	25704	13.328	12.932	13.726
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091531	8	0.013328	60	0	60-180	60	162	NoGap	None	1	39	2	2	0	target	0	272	-1000	24704	13.328	13.278	13.379
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.090756	20111118.091544	8	0.013328	60	0	60-180	60	163	NoGap	None	1	40	2	1	1	target	1	276	862	25566	13.328	13.118	13.544
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091801	8	0.013318	60	10	60-180	60	146	GapPrac	Blank	1	1	2	2	1	target	1	836	582	26148	13.373	13.245	13.432
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091811	8	0.013318	60	10	60-180	60	157	GapPrac	Blank	1	2	2	6	1	target	1	434	783	26931	13.328	10.387	16.281
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091827	8	0.013318	60	10	60-180	60	71	GapPrac	Blank	1	3	2	1	0	distractor	1	634	683	27614	13.328	13.290	13.352
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091833	8	0.013318	60	10	60-180	60	177	GapPrac	Blank	1	4	2	0	0	distractor	1	709	646	28260	13.328	13.111	13.545
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091840	8	0.013318	60	10	60-180	60	139	GapPrac	Blank	1	5	2	2	1	target	1	448	776	29036	13.328	12.825	14.027
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091850	8	0.013318	60	10	60-180	60	79	GapPrac	Blank	1	6	2	45	1	target	1	426	787	29823	13.328	12.653	14.006
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091856	8	0.013318	60	10	60-180	60	130	GapPrac	Blank	1	7	2	2	0	distractor	1	590	705	30528	13.328	10.409	16.236
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091903	8	0.013318	60	10	60-180	60	127	GapPrac	Blank	1	8	2	1	0	distractor	1	484	758	31286	13.328	12.948	13.701
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091909	8	0.013318	60	10	60-180	60	143	GapPrac	Blank	1	9	2	45	1	target	1	486	757	32043	13.328	9.066	17.588
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091922	8	0.013318	60	10	60-180	60	113	GapPrac	Blank	1	10	2	6	0	distractor	1	714	643	32686	13.328	13.297	13.358
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091934	8	0.013318	60	10	60-180	60	87	GapPrac	Blank	1	11	2	45	0	distractor	1	532	734	33420	13.328	13.301	13.361
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.091946	8	0.013318	60	10	60-180	60	172	GapPrac	Blank	1	12	2	1	1	target	1	239	881	34301	13.328	7.455	19.214
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092101	8	0.013318	60	10	60-180	60	162	GapPrac	Blank	1	13	2	6	1	target	1	349	826	35127	13.328	12.964	13.706
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092108	8	0.013318	60	10	60-180	60	99	GapPrac	Blank	1	14	2	45	0	distractor	1	357	822	35949	13.328	8.736	18.143
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092115	8	0.013318	60	10	60-180	60	150	GapPrac	Blank	1	15	2	0	1	target	1	303	849	36798	13.328	6.854	19.802
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092121	8	0.013318	60	10	60-180	60	158	GapPrac	Blank	1	16	2	0	0	distractor	1	374	813	37611	13.328	13.105	13.556
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092128	8	0.013318	60	10	60-180	60	75	GapPrac	Blank	1	17	2	1	1	target	1	304	848	38459	13.328	11.423	15.257
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092134	8	0.013318	60	10	60-180	60	131	GapPrac	Blank	1	18	2	0	1	target	1	256	872	39331	13.328	11.488	15.180
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092140	8	0.013318	60	10	60-180	60	100	GapPrac	Blank	1	19	2	2	0	distractor	1	290	855	40186	13.328	13.236	13.438
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.091755	20111118.092146	8	0.013318	60	10	60-180	60	102	GapPrac	Blank	1	20	2	6	0	distractor	1	335	833	41019	13.328	12.603	14.045
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.092215	20111118.092242	8	0.013328	60	10	60-180	60	65	GapExp	Blank	1	1	2	6	0	distractor	1	647	677	41696	13.393	12.855	13.803
ProbeTrack14	1	ProbeTrack	14.0	SCS215a	20111118.092215	20111118.092250	8	0.013328	60	10	60-180	60	76	GapExp	Blank	1	2	2	0	0	distractor	1	657	672	42368	13.328	13.277	13.386
