exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.115750	8	0.013327	60	0	60-180	60	122	NoGap	None	1	1	2	6	0	distractor	1	1319	341	341	13.379	13.096	13.573
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120014	8	0.013327	60	0	60-180	60	133	NoGap	None	1	2	2	6	1	target	1	1086	457	798	13.376	12.514	25.080
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120026	8	0.013327	60	0	60-180	60	164	NoGap	None	1	3	2	1	1	target	1	847	577	1375	13.328	13.112	13.556
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120036	8	0.013327	60	0	60-180	60	171	NoGap	None	1	4	2	45	1	target	1	447	777	2152	13.328	11.446	16.586
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120044	8	0.013327	60	0	60-180	60	137	NoGap	None	1	5	2	1	1	target	1	505	748	2900	13.328	13.185	13.453
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120050	8	0.013327	60	0	60-180	60	113	NoGap	None	1	6	2	6	1	target	1	567	717	3617	13.328	13.098	13.558
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120056	8	0.013327	60	0	60-180	60	177	NoGap	None	1	7	2	6	0	distractor	1	721	640	4257	13.328	13.098	13.550
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120104	8	0.013327	60	0	60-180	60	173	NoGap	None	1	8	2	0	1	target	1	626	687	4944	13.328	13.135	13.520
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120112	8	0.013327	60	0	60-180	60	139	NoGap	None	1	9	2	1	1	target	1	464	768	5712	13.328	9.356	17.311
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120119	8	0.013327	60	0	60-180	60	178	NoGap	None	1	10	2	45	0	distractor	1	576	712	6424	13.328	13.309	13.345
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120127	8	0.013327	60	0	60-180	60	147	NoGap	None	1	11	2	45	1	target	1	614	693	7117	13.328	13.096	13.557
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120136	8	0.013327	60	0	60-180	60	100	NoGap	None	1	12	2	2	0	distractor	1	679	661	7778	13.386	13.112	26.494
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120142	8	0.013327	60	0	60-180	60	153	NoGap	None	1	13	2	0	1	target	1	468	766	8544	13.428	11.447	39.985
ProbeTrack14	4	ProbeTrack	14.0	SCS215a	20111122.115744	20111122.120150	8	0.013327	60	0	60-180	60	158	NoGap	None	1	14	2	0	0	distractor	1	597	702	9246	13.328	13.308	13.350
