exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091429	8	0.013328	60	0	60-180	60	171	NoGap	None	1	1	2	3	0	distractor	1	1638	181	181	13.371	9.558	17.108
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091450	8	0.013328	60	0	60-180	60	124	NoGap	None	1	2	2	3	1	target	1	1307	347	528	13.328	13.098	13.572
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091459	8	0.013328	60	0	60-180	60	136	NoGap	None	1	3	2	0	0	distractor	1	1528	236	764	13.328	13.092	13.550
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091513	8	0.013328	60	0	60-180	60	145	NoGap	None	1	4	2	45	1	target	1	641	680	1444	13.328	11.476	15.183
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091524	8	0.013328	60	0	60-180	60	75	NoGap	None	1	5	2	1	0	target	0	1421	-1000	444	13.328	13.098	13.544
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091532	8	0.013328	60	0	60-180	60	140	NoGap	None	1	6	2	0	1	target	1	973	514	958	13.328	13.092	13.551
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091541	8	0.013328	60	0	60-180	60	91	NoGap	None	1	7	2	1	0	distractor	1	1029	486	1444	13.328	12.463	14.187
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091548	8	0.013328	60	0	60-180	60	64	NoGap	None	1	8	2	0	0	distractor	1	1046	477	1921	13.328	13.309	13.348
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091555	8	0.013328	60	0	60-180	60	122	NoGap	None	1	9	2	1	0	distractor	1	652	674	2595	13.328	4.756	21.900
ProbeTrack13	1	ProbeTrack	13.2	SCS215a	20111031.091407	20111031.091603	8	0.013328	60	0	60-180	60	121	NoGap	None	1	10	2	45	1	target	1	539	731	3326	13.328	10.539	16.126
