exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133046	8	0.013328	60	0	60-180	60	143	NoGap	None	1	1	2	45	0	distractor	1	1727	137	137	13.369	13.216	13.449
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133058	8	0.013328	60	0	60-180	60	155	NoGap	None	1	2	2	0	0	early	-4	-1432	-1000	-863	13.328	12.879	13.765
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133108	8	0.013328	60	0	60-180	60	159	NoGap	None	1	3	2	0	1	target	1	681	660	-203	13.468	12.863	40.214
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133115	8	0.013328	60	0	60-180	60	108	NoGap	None	1	4	2	45	0	distractor	1	642	679	476	13.328	13.156	13.513
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133122	8	0.013328	60	0	60-180	60	157	NoGap	None	1	5	2	45	0	distractor	1	723	639	1115	13.328	13.105	13.549
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133133	8	0.013328	60	0	60-180	60	134	NoGap	None	1	6	2	45	1	target	1	470	765	1880	13.328	13.101	13.577
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133140	8	0.013328	60	0	60-180	60	162	NoGap	None	1	7	2	1	1	target	1	506	747	2627	13.328	13.109	13.552
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133147	8	0.013328	60	0	60-180	60	95	NoGap	None	1	8	2	0	0	distractor	1	730	635	3262	13.328	13.206	13.422
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133153	8	0.013328	60	0	60-180	60	131	NoGap	None	1	9	2	0	1	target	1	470	765	4027	13.328	13.103	13.560
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133159	8	0.013328	60	0	60-180	60	159	NoGap	None	1	10	2	3	1	target	1	561	720	4747	13.471	13.014	26.938
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133207	8	0.013328	60	0	60-180	60	80	NoGap	None	1	11	2	45	1	target	1	489	756	5503	13.328	13.221	13.434
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133213	8	0.013328	60	0	60-180	60	85	NoGap	None	1	12	2	3	0	distractor	1	674	663	6166	13.328	13.117	13.548
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133219	8	0.013328	60	0	60-180	60	91	NoGap	None	1	13	2	0	1	target	1	737	632	6798	13.328	13.121	13.549
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133224	8	0.013328	60	0	60-180	60	92	NoGap	None	1	14	2	3	0	distractor	1	402	799	7597	13.328	13.263	13.393
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133230	8	0.013328	60	0	60-180	60	172	NoGap	None	1	15	2	0	0	target	0	808	-1000	6597	13.328	13.097	13.563
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133237	8	0.013328	60	0	60-180	60	165	NoGap	None	1	16	2	3	1	target	1	433	784	7381	13.328	13.086	13.564
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133244	8	0.013328	60	0	60-180	60	63	NoGap	None	1	17	2	1	0	distractor	1	546	727	8108	13.328	13.097	13.558
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133250	8	0.013328	60	0	60-180	60	100	NoGap	None	1	18	2	3	0	distractor	1	547	727	8835	13.328	13.103	13.554
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133256	8	0.013328	60	0	60-180	60	173	NoGap	None	1	19	2	1	1	target	1	973	514	9349	13.328	13.115	13.543
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133303	8	0.013328	60	0	60-180	60	78	NoGap	None	1	20	2	45	1	distractor	0	407	-1000	8349	13.328	13.176	13.482
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133310	8	0.013328	60	0	60-180	60	110	NoGap	None	1	21	2	1	1	target	1	501	750	9099	13.328	13.201	13.454
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133315	8	0.013328	60	0	60-180	60	105	NoGap	None	1	22	2	45	0	distractor	1	701	650	9749	13.328	13.208	13.447
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133322	8	0.013328	60	0	60-180	60	81	NoGap	None	1	23	2	1	0	distractor	1	547	727	10476	13.328	13.208	13.451
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133328	8	0.013328	60	0	60-180	60	141	NoGap	None	1	24	2	1	1	target	1	693	654	11130	13.328	13.079	13.585
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133334	8	0.013328	60	0	60-180	60	79	NoGap	None	1	25	2	1	0	distractor	1	593	704	11834	13.328	13.114	13.544
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133340	8	0.013328	60	0	60-180	60	131	NoGap	None	1	26	2	3	1	target	1	400	800	12634	13.328	13.100	13.557
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133347	8	0.013328	60	0	60-180	60	156	NoGap	None	1	27	2	45	1	target	1	386	807	13441	13.328	13.093	13.563
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133354	8	0.013328	60	0	60-180	60	126	NoGap	None	1	28	2	1	0	distractor	1	556	722	14163	13.328	13.106	13.560
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133400	8	0.013328	60	0	60-180	60	75	NoGap	None	1	29	2	0	0	distractor	1	650	675	14838	13.328	13.180	13.479
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133406	8	0.013328	60	0	60-180	60	149	NoGap	None	1	30	2	0	0	distractor	1	535	733	15571	13.328	13.291	13.357
ProbeTrack13	3	ProbeTrack	13.2	SCS215a	20111031.133010	20111031.133413	8	0.013328	60	0	60-180	60	134	NoGap	None	1	31	2	0	1	target	1	896	552	16123	13.328	13.265	13.393
