exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.404563	8	0.013328	60	0	60-180	60	82	NoGap	1	1	4	96	1	target	1	427	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.404703	8	0.013328	60	0	60-180	60	139	NoGap	1	2	4	3	1	target	1	493	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.404916	8	0.013328	60	0	60-180	60	68	NoGap	1	3	4	0	0	distractor	1	573	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.404979	8	0.013328	60	0	60-180	60	163	NoGap	1	4	4	3	1	target	1	413	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405066	8	0.013328	60	0	60-180	60	96	NoGap	1	5	4	6	1	target	1	307	13.328	13.291	13.367
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405133	8	0.013328	60	0	60-180	60	76	NoGap	1	6	4	3	0	distractor	1	400	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405191	8	0.013328	60	0	60-180	60	172	NoGap	1	7	4	0	1	target	1	387	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405280	8	0.013328	60	0	60-180	60	100	NoGap	1	8	4	96	1	target	1	453	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405356	8	0.013328	60	0	60-180	60	122	NoGap	1	9	4	96	0	distractor	1	440	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405443	8	0.013328	60	0	60-180	60	131	NoGap	1	10	4	6	1	distractor	0	347	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405514	8	0.013328	60	0	60-180	60	112	NoGap	1	11	4	3	0	target	0	600	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405585	8	0.013328	60	0	60-180	60	64	NoGap	1	12	4	96	1	target	1	387	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405656	8	0.013328	60	0	60-180	60	87	NoGap	1	13	4	0	0	target	0	480	13.328	13.293	13.367
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405717	8	0.013328	60	0	60-180	60	85	NoGap	1	14	4	6	1	target	1	520	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405784	8	0.013328	60	0	60-180	60	150	NoGap	1	15	4	0	1	target	1	414	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405854	8	0.013328	60	0	60-180	60	84	NoGap	1	16	4	0	0	distractor	1	573	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.405944	8	0.013328	60	0	60-180	60	145	NoGap	1	17	4	96	0	distractor	1	387	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406031	8	0.013328	60	0	60-180	60	160	NoGap	1	18	4	96	1	target	1	427	13.328	13.292	13.364
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406118	8	0.013328	60	0	60-180	60	68	NoGap	1	19	4	6	1	target	1	547	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406180	8	0.013328	60	0	60-180	60	110	NoGap	1	20	4	3	1	target	1	440	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406260	8	0.013328	60	0	60-180	60	171	NoGap	1	21	4	0	0	distractor	1	360	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406340	8	0.013328	60	0	60-180	60	79	NoGap	1	22	4	96	0	target	0	547	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406418	8	0.013328	60	0	60-180	60	140	NoGap	1	23	4	0	0	distractor	1	453	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406489	8	0.013328	60	0	60-180	60	88	NoGap	1	24	4	6	0	distractor	1	520	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406554	8	0.013328	60	0	60-180	60	97	NoGap	1	25	4	6	1	target	1	387	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406620	8	0.013328	60	0	60-180	60	158	NoGap	1	26	4	0	0	distractor	1	400	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406696	8	0.013328	60	0	60-180	60	122	NoGap	1	27	4	6	0	distractor	1	427	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406764	8	0.013328	60	0	60-180	60	96	NoGap	1	28	4	6	0	distractor	1	374	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406830	8	0.013328	60	0	60-180	60	111	NoGap	1	29	4	3	1	distractor	0	414	13.328	13.292	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406893	8	0.013328	60	0	60-180	60	88	NoGap	1	30	4	6	0	distractor	1	440	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.406957	8	0.013328	60	0	60-180	60	168	NoGap	1	31	4	6	1	target	1	453	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407031	8	0.013328	60	0	60-180	60	119	NoGap	1	32	4	0	1	distractor	0	427	13.328	13.293	13.364
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407098	8	0.013328	60	0	60-180	60	163	NoGap	1	33	4	3	1	target	1	480	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407170	8	0.013328	60	0	60-180	60	142	NoGap	1	34	4	3	0	distractor	1	387	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407246	8	0.013328	60	0	60-180	60	164	NoGap	1	35	4	3	0	distractor	1	467	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407319	8	0.013328	60	0	60-180	60	142	NoGap	1	36	4	6	1	target	1	413	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407391	8	0.013328	60	0	60-180	60	165	NoGap	1	37	4	96	0	target	0	360	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407480	8	0.013328	60	0	60-180	60	127	NoGap	1	38	4	6	0	distractor	1	520	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407550	8	0.013328	60	0	60-180	60	166	NoGap	1	39	4	3	1	distractor	0	334	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407621	8	0.013328	60	0	60-180	60	142	NoGap	1	40	4	3	0	distractor	1	507	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407691	8	0.013328	60	0	60-180	60	134	NoGap	1	41	4	3	1	target	1	454	13.328	13.293	13.366
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407760	8	0.013328	60	0	60-180	60	176	NoGap	1	42	4	96	1	distractor	0	374	13.328	13.291	13.364
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407850	8	0.013328	60	0	60-180	60	108	NoGap	1	43	4	0	1	target	1	454	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.407917	8	0.013328	60	0	60-180	60	162	NoGap	1	44	4	96	0	distractor	1	454	13.328	13.293	13.363
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.408008	8	0.013328	60	0	60-180	60	108	NoGap	1	45	4	0	1	target	1	440	13.328	13.288	13.368
ProbeTrack8	1	ProbeTrack	1415	SCS215a	733733.404182	733733.408071	8	0.013328	60	0	60-180	60	156	NoGap	1	46	4	0	1	target	1	360	13.328	13.293	13.363
