exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528350	8	0.013324	60	0	60-180	60	179	NoGap	1	1	4	6	1	target	1	973	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528461	8	0.013324	60	0	60-180	60	91	NoGap	1	2	4	3	0	distractor	1	1853	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528573	8	0.013324	60	0	60-180	60	96	NoGap	1	3	4	6	0	distractor	1	946	13.327	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528664	8	0.013324	60	0	60-180	60	91	NoGap	1	4	4	96	1	target	1	1093	13.328	13.290	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528792	8	0.013324	60	0	60-180	60	163	NoGap	1	5	4	3	1	target	1	973	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528881	8	0.013324	60	0	60-180	60	130	NoGap	1	6	4	0	1	target	1	733	13.328	13.292	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.528971	8	0.013324	60	0	60-180	60	165	NoGap	1	7	4	96	0	distractor	1	813	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529080	8	0.013324	60	0	60-180	60	153	NoGap	1	8	4	0	0	distractor	1	720	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529159	8	0.013324	60	0	60-180	60	162	NoGap	1	9	4	96	1	target	1	560	13.328	13.292	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529259	8	0.013324	60	0	60-180	60	152	NoGap	1	10	4	0	0	distractor	1	667	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529343	8	0.013324	60	0	60-180	60	160	NoGap	1	11	4	96	0	distractor	1	347	13.328	13.289	13.364
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529435	8	0.013324	60	0	60-180	60	167	NoGap	1	12	4	96	1	distractor	0	507	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529529	8	0.013324	60	0	60-180	60	123	NoGap	1	13	4	6	1	target	1	547	13.328	13.293	13.363
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529604	8	0.013324	60	0	60-180	60	100	NoGap	1	14	4	6	0	distractor	1	480	13.328	13.293	13.366
ProbeTrack8	14	ProbeTrack	1415	SCS215a	733800.527984	733800.529671	8	0.013324	60	0	60-180	60	131	NoGap	1	15	4	0	1	distractor	0	493	13.328	13.293	13.363
