sub,hz,nobjects,ntargets,cuedur,gapdur,soa,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,badkey,rt
afs,75,8,4,60,0,6,60,180,60,1,1,87,2,0,0,1339
afs,75,8,4,60,0,6,60,180,60,1,2,170,1,1,0,1343
afs,75,8,4,60,0,96,60,180,60,1,3,61,2,0,0,1063
afs,75,8,4,60,0,96,60,180,60,1,4,131,1,0,0,1421
afs,75,8,4,60,0,6,60,180,60,1,5,126,2,0,0,1143
afs,75,8,4,60,0,0,60,180,60,1,6,139,2,0,0,1503
afs,75,8,4,60,0,0,60,180,60,1,7,98,1,0,0,1303
afs,75,8,4,60,0,24,60,180,60,1,8,88,1,1,0,1103
afs,75,8,4,60,0,24,60,180,60,1,9,110,1,0,0,1100
afs,75,8,4,60,0,96,60,180,60,1,10,96,2,0,0,983
afs,75,8,4,60,0,24,60,180,60,1,11,141,2,0,0,903
afs,75,8,4,60,0,6,60,180,60,1,12,173,1,0,0,863
afs,75,8,4,60,0,0,60,180,60,1,13,102,2,0,0,903
afs,75,8,4,60,0,24,60,180,60,1,14,128,2,0,0,1103
afs,75,8,4,60,0,96,60,180,60,1,15,75,1,1,0,823
afs,75,8,4,60,0,96,60,180,60,1,16,81,2,0,0,1023
afs,75,8,4,60,0,96,60,180,60,1,17,94,1,0,0,1023
afs,75,8,4,60,0,6,60,180,60,1,18,127,1,0,0,823
afs,75,8,4,60,0,6,60,180,60,1,19,119,1,0,0,863
afs,75,8,4,60,0,24,60,180,60,1,20,175,1,0,0,743
afs,75,8,4,60,0,0,60,180,60,1,21,88,1,0,0,702
afs,75,8,4,60,0,0,60,180,60,1,22,118,2,0,0,983
afs,75,8,4,60,0,0,60,180,60,1,23,124,1,0,0,703
afs,75,8,4,60,0,24,60,180,60,1,24,156,2,1,0,623
afs,75,8,4,60,0,0,60,180,60,1,25,84,1,0,0,1063
afs,75,8,4,60,0,0,60,180,60,1,26,170,2,0,0,742
afs,75,8,4,60,0,24,60,180,60,1,27,171,2,0,0,863
afs,75,8,4,60,0,6,60,180,60,1,28,62,1,0,0,983
afs,75,8,4,60,0,6,60,180,60,1,29,153,1,0,0,862
afs,75,8,4,60,0,24,60,180,60,1,30,174,1,1,0,1023
afs,75,8,4,60,0,96,60,180,60,1,31,158,1,0,0,1023
afs,75,8,4,60,0,0,60,180,60,1,32,171,1,1,0,862
afs,75,8,4,60,0,0,60,180,60,1,33,84,1,0,0,1023
afs,75,8,4,60,0,0,60,180,60,1,34,141,2,0,0,1343
afs,75,8,4,60,0,0,60,180,60,1,35,172,2,0,0,782
afs,75,8,4,60,0,96,60,180,60,1,36,102,1,1,1,222
afs,75,8,4,60,0,0,60,180,60,1,37,132,2,0,0,1343
afs,75,8,4,60,0,24,60,180,60,1,38,134,1,0,0,1223
afs,75,8,4,60,0,6,60,180,60,1,39,61,1,0,0,943
afs,75,8,4,60,0,0,60,180,60,1,40,178,1,0,0,742
afs,75,8,4,60,0,24,60,180,60,1,41,168,1,0,0,903
afs,75,8,4,60,0,24,60,180,60,1,42,144,1,0,0,703
afs,75,8,4,60,0,96,60,180,60,1,43,113,1,1,0,1983
afs,75,8,4,60,0,6,60,180,60,1,44,145,1,0,0,743
afs,75,8,4,60,0,24,60,180,60,1,45,134,2,0,0,863
afs,75,8,4,60,0,96,60,180,60,1,46,96,1,0,0,743
afs,75,8,4,60,0,24,60,180,60,1,47,163,2,1,0,703
afs,75,8,4,60,0,96,60,180,60,1,48,74,1,0,0,623
afs,75,8,4,60,0,24,60,180,60,1,49,95,1,0,0,1343
afs,75,8,4,60,0,6,60,180,60,1,50,72,1,0,0,823
afs,75,8,4,60,0,0,60,180,60,1,1,68,1,0,0,862
afs,75,8,4,60,0,6,60,180,60,1,2,130,2,0,0,903
afs,75,8,4,60,0,0,60,180,60,1,3,143,2,0,0,782
afs,75,8,4,60,0,0,60,180,60,1,4,132,1,0,0,943
afs,75,8,4,60,0,24,60,180,60,1,5,66,1,0,0,1503
afs,75,8,4,60,0,24,60,180,60,2,1,119,2,0,0,743
afs,75,8,4,60,0,96,60,180,60,2,2,76,2,1,0,1063
afs,75,8,4,60,0,0,60,180,60,2,3,118,2,0,0,903
afs,75,8,4,60,0,96,60,180,60,2,4,133,1,0,0,1063
afs,75,8,4,60,0,6,60,180,60,2,5,130,2,0,0,1183
afs,75,8,4,60,0,6,60,180,60,2,6,114,2,0,0,702
afs,75,8,4,60,0,24,60,180,60,2,7,168,2,0,0,703
afs,75,8,4,60,0,0,60,180,60,2,8,80,1,0,0,822
afs,75,8,4,60,0,0,60,180,60,2,9,71,1,0,0,783
afs,75,8,4,60,0,96,60,180,60,2,10,130,2,0,0,743
afs,75,8,4,60,0,0,60,180,60,2,11,113,2,1,0,782
afs,75,8,4,60,0,0,60,180,60,2,12,112,1,0,0,1023
afs,75,8,4,60,0,0,60,180,60,2,13,159,1,0,0,743
afs,75,8,4,60,0,96,60,180,60,2,14,73,2,0,0,1343
afs,75,8,4,60,0,96,60,180,60,2,15,132,1,0,0,1143
afs,75,8,4,60,0,6,60,180,60,2,16,70,1,0,0,863
afs,75,8,4,60,0,0,60,180,60,2,17,79,1,0,0,742
afs,75,8,4,60,0,6,60,180,60,2,18,166,2,0,0,1703
afs,75,8,4,60,0,96,60,180,60,2,19,64,1,0,0,1063
afs,75,8,4,60,0,96,60,180,60,2,20,65,1,0,0,702
afs,75,8,4,60,0,96,60,180,60,2,21,103,1,0,0,702
afs,75,8,4,60,0,6,60,180,60,2,22,118,2,1,0,903
afs,75,8,4,60,0,96,60,180,60,2,23,147,2,0,0,1783
afs,75,8,4,60,0,24,60,180,60,2,24,123,1,0,0,903
afs,75,8,4,60,0,96,60,180,60,2,25,153,2,0,0,743
afs,75,8,4,60,0,24,60,180,60,2,26,139,2,0,0,703
afs,75,8,4,60,0,24,60,180,60,2,27,64,1,0,0,903
afs,75,8,4,60,0,96,60,180,60,2,28,147,2,0,0,743
afs,75,8,4,60,0,24,60,180,60,2,29,161,2,0,0,702
afs,75,8,4,60,0,6,60,180,60,2,30,95,2,0,0,742
afs,75,8,4,60,0,96,60,180,60,2,31,102,1,0,0,823
