sub,hz,nobjects,ntargets,cuedur,gapdur,soa,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,badkey,rt
amw,75,8,4,60,0,0,60,180,60,1,1,132,2,0,0,1982
amw,75,8,4,60,0,0,60,180,60,1,2,102,1,0,0,1023
amw,75,8,4,60,0,6,60,180,60,1,3,179,1,0,0,663
amw,75,8,4,60,0,12,60,180,60,1,4,155,1,0,0,863
amw,75,8,4,60,0,3,60,180,60,1,5,157,1,0,0,703
amw,75,8,4,60,0,6,60,180,60,1,6,174,2,0,0,623
amw,75,8,4,60,0,3,60,180,60,1,7,110,2,0,0,663
amw,75,8,4,60,0,12,60,180,60,1,8,119,2,0,0,823
amw,75,8,4,60,0,3,60,180,60,2,1,62,1,1,0,703
amw,75,8,4,60,0,12,60,180,60,2,2,177,2,0,0,743
amw,75,8,4,60,0,6,60,180,60,2,3,115,1,1,0,743
amw,75,8,4,60,0,3,60,180,60,2,4,75,2,0,0,663
amw,75,8,4,60,0,6,60,180,60,2,5,102,2,0,0,742
amw,75,8,4,60,0,6,60,180,60,2,6,155,2,0,0,663
amw,75,8,4,60,0,6,60,180,60,2,7,128,1,0,0,1383
amw,75,8,4,60,0,0,60,180,60,2,8,102,1,0,0,943
amw,75,8,4,60,0,0,60,180,60,2,9,126,2,0,0,703
amw,75,8,4,60,0,3,60,180,60,2,10,77,2,0,0,703
amw,75,8,4,60,0,12,60,180,60,2,11,127,2,0,0,662
amw,75,8,4,60,0,12,60,180,60,2,12,173,2,0,0,543
amw,75,8,4,60,0,12,60,180,60,2,13,172,2,0,0,703
amw,75,8,4,60,0,0,60,180,60,2,14,81,2,0,0,663
amw,75,8,4,60,0,12,60,180,60,2,15,160,1,1,0,623
amw,75,8,4,60,0,12,60,180,60,2,16,61,1,0,0,823
amw,75,8,4,60,0,3,60,180,60,2,17,166,2,0,0,823
amw,75,8,4,60,0,6,60,180,60,2,18,94,1,0,0,783
amw,75,8,4,60,0,0,60,180,60,2,19,163,1,1,0,742
amw,75,8,4,60,0,3,60,180,60,2,20,134,1,0,0,463
amw,75,8,4,60,0,0,60,180,60,2,21,66,2,0,0,743
amw,75,8,4,60,0,3,60,180,60,2,22,80,2,0,0,542
amw,75,8,4,60,0,6,60,180,60,2,23,139,1,0,0,863
amw,75,8,4,60,0,0,60,180,60,2,24,176,2,0,0,582
amw,75,8,4,60,0,0,60,180,60,2,25,125,2,0,0,582
amw,75,8,4,60,0,12,60,180,60,2,26,154,1,0,0,1023
amw,75,8,4,60,0,3,60,180,60,2,27,114,1,1,0,1263
amw,75,8,4,60,0,12,60,180,60,2,28,61,2,0,0,823
amw,75,8,4,60,0,0,60,180,60,2,29,74,1,0,0,782
amw,75,8,4,60,0,0,60,180,60,2,30,72,1,0,0,623
amw,75,8,4,60,0,0,60,180,60,2,31,165,2,0,0,622
amw,75,8,4,60,0,3,60,180,60,2,32,87,2,0,0,783
amw,75,8,4,60,0,3,60,180,60,2,33,85,1,0,0,663
amw,75,8,4,60,0,6,60,180,60,2,34,109,2,0,0,822
amw,75,8,4,60,0,0,60,180,60,2,35,84,1,0,0,823
amw,75,8,4,60,0,6,60,180,60,2,36,92,2,0,0,702
amw,75,8,4,60,0,12,60,180,60,2,37,174,1,0,0,863
amw,75,8,4,60,0,12,60,180,60,2,38,176,1,0,0,823
amw,75,8,4,60,0,3,60,180,60,2,39,141,1,0,0,583
amw,75,8,4,60,0,12,60,180,60,2,40,84,2,0,0,783
amw,75,8,4,60,0,6,60,180,60,2,41,158,2,0,0,1343
amw,75,8,4,60,0,3,60,180,60,2,42,91,2,0,0,742
amw,75,8,4,60,0,6,60,180,60,2,43,141,1,0,0,863
amw,75,8,4,60,0,3,60,180,60,2,44,105,1,0,0,703
amw,75,8,4,60,0,12,60,180,60,2,45,148,1,0,0,502
amw,75,8,4,60,0,6,60,180,60,2,46,104,2,0,0,623
amw,75,8,4,60,0,0,60,180,60,2,47,144,1,0,0,542
amw,75,8,4,60,0,6,60,180,60,2,48,84,1,0,0,542
amw,75,8,1,60,23,3,60,180,60,1,1,161,1,1,1,0
amw,75,8,1,60,23,6,60,180,60,1,2,174,1,0,0,382
amw,75,8,1,60,23,0,60,180,60,1,3,97,2,0,0,943
amw,75,8,1,60,23,12,60,180,60,1,4,179,2,0,0,542
amw,75,8,1,60,23,3,60,180,60,1,5,125,2,0,0,543
amw,75,8,1,60,23,12,60,180,60,1,6,160,2,1,0,703
amw,75,8,1,60,23,12,60,180,60,1,7,167,1,0,0,743
amw,75,8,1,60,23,6,60,180,60,1,8,145,2,1,0,742
amw,75,8,1,60,23,6,60,180,60,1,9,80,1,0,0,663
amw,75,8,1,60,23,6,60,180,60,1,10,95,2,0,0,622
amw,75,8,1,60,23,0,60,180,60,1,11,64,1,0,0,502
amw,75,8,1,60,23,0,60,180,60,1,12,126,1,0,0,342
amw,75,8,1,60,23,12,60,180,60,1,13,178,1,0,0,542
amw,75,8,1,60,23,3,60,180,60,1,14,138,2,0,0,583
