exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.125953	8	0.013327	60	0	60-180	60	78	NoGap	1	1	2	0	0	distractor	1	1187	407	407	13.328	13.293	13.363
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.125958	8	0.013327	60	0	60-180	60	150	NoGap	1	2	2	2	1	target	1	520	740	1147	13.328	13.222	13.468
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130004	8	0.013327	60	0	60-180	60	178	NoGap	1	3	2	2	0	distractor	1	374	813	1960	13.328	13.224	13.431
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130010	8	0.013327	60	0	60-180	60	103	NoGap	1	4	2	2	0	distractor	1	933	534	2494	13.328	13.292	13.363
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130016	8	0.013327	60	0	60-180	60	63	NoGap	1	5	2	75	1	target	1	374	813	3307	13.328	13.293	13.363
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130021	8	0.013327	60	0	60-180	60	146	NoGap	1	6	2	1	1	target	1	507	747	4054	13.328	13.292	13.367
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130027	8	0.013327	60	0	60-180	60	127	NoGap	1	7	2	4	1	target	1	774	613	4667	13.328	13.185	13.504
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130033	8	0.013327	60	0	60-180	60	145	NoGap	1	8	2	2	1	target	1	467	767	5434	13.328	13.169	13.452
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130038	8	0.013327	60	0	60-180	60	175	NoGap	1	9	2	75	0	distractor	1	574	713	6147	13.544	12.848	53.483
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130046	8	0.013327	60	0	60-180	60	141	NoGap	1	10	2	2	1	target	1	600	700	6847	13.328	13.118	13.539
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130051	8	0.013327	60	0	60-180	60	106	NoGap	1	11	2	0	1	target	1	360	820	7667	13.328	13.187	13.469
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130057	8	0.013327	60	0	60-180	60	131	NoGap	1	12	2	1	1	distractor	0	744	-1000	6667	14.660	13.225	133.276
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130102	8	0.013327	60	0	60-180	60	168	NoGap	1	13	2	4	1	target	1	454	773	7440	13.328	13.209	13.426
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130108	8	0.013327	60	0	60-180	60	159	NoGap	1	14	2	4	0	distractor	1	520	740	8180	13.376	13.261	26.342
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130114	8	0.013327	60	0	60-180	60	75	NoGap	1	15	2	0	1	target	1	640	680	8860	13.395	13.000	26.689
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130119	8	0.013327	60	0	60-180	60	168	NoGap	1	16	2	75	1	target	1	387	807	9667	13.328	12.954	13.735
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130126	8	0.013327	60	0	60-180	60	140	NoGap	1	17	2	2	1	target	1	427	787	10454	13.328	13.199	13.455
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130132	8	0.013327	60	0	60-180	60	131	NoGap	1	18	2	1	0	distractor	1	454	773	11227	13.328	13.273	13.418
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130137	8	0.013327	60	0	60-180	60	162	NoGap	1	19	2	75	0	target	0	667	-1000	10227	13.328	12.991	13.664
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130144	8	0.013327	60	0	60-180	60	71	NoGap	1	20	2	2	0	distractor	1	751	625	10852	13.328	13.125	13.529
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130149	8	0.013327	60	0	60-180	60	106	NoGap	1	21	2	4	1	target	1	414	793	11645	13.328	13.246	13.444
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130155	8	0.013327	60	0	60-180	60	127	NoGap	1	22	2	2	0	distractor	1	547	727	12372	13.328	13.292	13.364
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130200	8	0.013327	60	0	60-180	60	69	NoGap	1	23	2	75	1	target	1	653	674	13046	13.328	13.053	13.603
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130206	8	0.013327	60	0	60-180	60	180	NoGap	1	24	2	4	0	distractor	1	560	720	13766	13.328	13.040	13.581
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130212	8	0.013327	60	0	60-180	60	160	NoGap	1	25	2	0	0	distractor	1	574	713	14479	13.328	12.900	13.721
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130218	8	0.013327	60	0	60-180	60	138	NoGap	1	26	2	75	1	target	1	440	780	15259	13.328	13.293	13.363
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130225	8	0.013327	60	0	60-180	60	113	NoGap	1	27	2	4	0	distractor	1	560	720	15979	13.328	13.186	13.484
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130230	8	0.013327	60	0	60-180	60	150	NoGap	1	28	2	75	0	distractor	1	454	773	16752	13.328	13.234	13.421
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130237	8	0.013327	60	0	60-180	60	146	NoGap	1	29	2	0	1	target	1	520	740	17492	13.328	13.292	13.367
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130243	8	0.013327	60	0	60-180	60	177	NoGap	1	30	2	1	0	distractor	1	454	773	18265	13.328	13.086	13.536
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130249	8	0.013327	60	0	60-180	60	67	NoGap	1	31	2	4	0	distractor	1	760	620	18885	13.328	13.271	13.385
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130254	8	0.013327	60	0	60-180	60	163	NoGap	1	32	2	1	1	target	1	360	820	19705	13.328	12.991	13.663
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130300	8	0.013327	60	0	60-180	60	64	NoGap	1	33	2	75	0	distractor	1	653	674	20379	13.328	13.176	13.513
ProbeTrackDT01	25	ProbeTrack	10.4	SCS215a	20100714.125939	20100714.130306	8	0.013327	60	0	60-180	60	176	NoGap	1	34	2	1	0	distractor	1	400	800	21179	13.328	12.944	13.712
