exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085827	8	0.013331	60	0	60-180	60	82	NoGap	1	1	2	0	0	distractor	1	13235	0	0	13.328	13.015	13.640
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085845	8	0.013331	60	0	60-180	60	106	NoGap	1	2	2	1	0	distractor	1	2852	0	0	13.493	12.946	39.949
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085852	8	0.013331	60	0	60-180	60	81	NoGap	1	3	2	4	1	distractor	0	2986	-1000	-1000	13.328	13.274	13.380
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085900	8	0.013331	60	0	60-180	60	168	NoGap	1	4	2	2	0	distractor	1	1280	360	-640	13.328	12.949	13.674
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085907	8	0.013331	60	0	60-180	60	88	NoGap	1	5	2	2	0	distractor	1	1373	314	-326	13.801	13.209	119.920
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085912	8	0.013331	60	0	60-180	60	103	NoGap	1	6	2	4	1	target	1	1306	347	21	13.328	13.190	13.465
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085918	8	0.013331	60	0	60-180	60	150	NoGap	1	7	2	4	1	target	1	1666	167	188	13.328	13.292	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085925	8	0.013331	60	0	60-180	60	122	NoGap	1	8	2	2	1	target	1	1293	354	542	13.328	13.028	13.627
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085932	8	0.013331	60	0	60-180	60	127	NoGap	1	9	2	2	1	target	1	1053	474	1016	13.479	13.177	39.968
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085938	8	0.013331	60	0	60-180	60	86	NoGap	1	10	2	0	1	target	1	1147	427	1443	13.328	13.293	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085943	8	0.013331	60	0	60-180	60	115	NoGap	1	11	2	1	1	target	1	1093	454	1897	13.328	13.293	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085949	8	0.013331	60	0	60-180	60	61	NoGap	1	12	2	75	0	distractor	1	1147	427	2324	14.557	12.950	107.001
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.085956	8	0.013331	60	0	60-180	60	116	NoGap	1	13	2	2	1	target	1	1133	434	2758	13.328	13.293	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090002	8	0.013331	60	0	60-180	60	93	NoGap	1	14	2	1	1	target	1	1013	494	3252	13.386	13.242	26.656
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090008	8	0.013331	60	0	60-180	60	146	NoGap	1	15	2	1	0	target	0	693	-1000	2252	13.376	13.137	26.815
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090014	8	0.013331	60	0	60-180	60	76	NoGap	1	16	2	75	0	target	0	2119	-1000	1252	13.374	12.995	26.776
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090021	8	0.013331	60	0	60-180	60	134	NoGap	1	17	2	75	1	distractor	0	2932	-1000	252	13.366	13.268	26.655
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090030	8	0.013331	60	0	60-180	60	179	NoGap	1	18	2	1	1	distractor	0	1573	-1000	-748	13.328	13.163	13.492
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090037	8	0.013331	60	0	60-180	60	86	NoGap	1	19	2	4	0	distractor	1	2439	0	-748	15.697	13.081	186.589
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090044	8	0.013331	60	0	60-180	60	147	NoGap	1	20	2	1	1	distractor	0	1707	-1000	-1748	13.328	13.293	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090051	8	0.013331	60	0	60-180	60	136	NoGap	1	21	2	0	1	distractor	0	1053	-1000	-2748	13.328	13.292	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090057	8	0.013331	60	0	60-180	60	179	NoGap	1	22	2	0	1	target	1	1906	47	-2701	13.328	12.937	13.685
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090105	8	0.013331	60	0	60-180	60	81	NoGap	1	23	2	2	0	distractor	1	1133	434	-2267	13.389	12.959	26.655
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090110	8	0.013331	60	0	60-180	60	131	NoGap	1	24	2	0	0	distractor	1	1093	454	-1813	13.328	13.241	13.379
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090116	8	0.013331	60	0	60-180	60	71	NoGap	1	25	2	4	0	distractor	1	1506	247	-1566	13.391	13.019	26.998
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090122	8	0.013331	60	0	60-180	60	66	NoGap	1	26	2	1	0	distractor	1	1347	327	-1239	13.328	13.293	13.363
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090128	8	0.013331	60	0	60-180	60	62	NoGap	1	27	2	0	1	target	1	1054	473	-766	13.328	13.293	13.385
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090133	8	0.013331	60	0	60-180	60	73	NoGap	1	28	2	0	0	distractor	1	1027	487	-279	13.328	13.211	13.444
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090138	8	0.013331	60	0	60-180	60	173	NoGap	1	29	2	2	0	distractor	1	1093	454	175	13.328	13.177	13.446
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090145	8	0.013331	60	0	60-180	60	92	NoGap	1	30	2	75	1	target	1	947	527	702	13.328	13.129	13.526
ProbeTrackDT01	16	ProbeTrack	10.4	SCS215a	20100708.085818	20100708.090151	8	0.013331	60	0	60-180	60	163	NoGap	1	31	2	4	0	distractor	1	680	660	1362	13.328	12.961	13.694
