exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090616	8	0.013328	60	0	60-180	60	94	NoGap	1	1	2	0	1	32	-3	7131	-1000	-1000	15.190	12.998	173.236
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090628	8	0.013328	60	0	60-180	60	176	NoGap	1	2	2	2	0	distractor	1	1640	180	-820	13.328	13.279	13.364
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090636	8	0.013328	60	0	60-180	60	72	NoGap	1	3	2	4	0	distractor	1	1413	294	-526	13.328	13.105	13.516
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090641	8	0.013328	60	0	60-180	60	81	NoGap	1	4	2	0	1	target	1	1200	400	-126	13.328	13.148	13.507
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090647	8	0.013328	60	0	60-180	60	163	NoGap	1	5	2	0	1	target	1	973	514	388	13.328	13.159	13.522
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090654	8	0.013328	60	0	60-180	60	129	NoGap	1	6	2	75	1	distractor	0	840	-1000	-612	13.328	13.249	13.375
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090701	8	0.013328	60	0	60-180	60	145	NoGap	1	7	2	75	0	distractor	1	880	560	-52	13.328	13.193	13.461
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090708	8	0.013328	60	0	60-180	60	63	NoGap	1	8	2	0	0	distractor	1	965	518	466	15.181	13.064	159.899
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090713	8	0.013328	60	0	60-180	60	77	NoGap	1	9	2	75	1	target	1	853	574	1040	13.328	13.004	13.619
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090719	8	0.013328	60	0	60-180	60	84	NoGap	1	10	2	1	1	target	1	640	680	1720	13.328	12.996	13.732
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090724	8	0.013328	60	0	60-180	60	165	NoGap	1	11	2	0	0	distractor	1	587	707	2427	13.328	13.151	13.504
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090730	8	0.013328	60	0	60-180	60	77	NoGap	1	12	2	2	0	distractor	1	693	654	3081	13.392	13.082	26.866
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090735	8	0.013328	60	0	60-180	60	75	NoGap	1	13	2	2	1	target	1	787	607	3688	13.328	13.261	13.394
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090741	8	0.013328	60	0	60-180	60	76	NoGap	1	14	2	1	0	distractor	1	760	620	4308	13.328	13.293	13.366
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090746	8	0.013328	60	0	60-180	60	104	NoGap	1	15	2	0	0	distractor	1	587	707	5015	13.328	13.289	13.367
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090751	8	0.013328	60	0	60-180	60	93	NoGap	1	16	2	75	0	distractor	1	653	674	5689	13.328	13.269	13.363
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090757	8	0.013328	60	0	60-180	60	65	NoGap	1	17	2	1	0	distractor	1	614	693	6382	13.328	13.017	13.638
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090802	8	0.013328	60	0	60-180	60	117	NoGap	1	18	2	1	0	distractor	1	494	753	7135	13.328	13.225	13.441
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090807	8	0.013328	60	0	60-180	60	136	NoGap	1	19	2	4	0	distractor	1	614	693	7828	13.328	13.225	13.430
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090813	8	0.013328	60	0	60-180	60	162	NoGap	1	20	2	4	1	target	1	680	660	8488	13.328	9.768	16.921
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090819	8	0.013328	60	0	60-180	60	169	NoGap	1	21	2	2	1	target	1	680	660	9148	13.328	13.293	13.364
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090826	8	0.013328	60	0	60-180	60	137	NoGap	1	22	2	2	1	target	1	547	727	9875	13.328	13.293	13.363
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090831	8	0.013328	60	0	60-180	60	152	NoGap	1	23	2	4	1	target	1	600	700	10575	13.424	13.035	26.868
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090837	8	0.013328	60	0	60-180	60	121	NoGap	1	24	2	1	1	target	1	520	740	11315	13.384	13.071	26.644
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090843	8	0.013328	60	0	60-180	60	120	NoGap	1	25	2	4	1	target	1	627	687	12002	13.328	13.292	13.363
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090848	8	0.013328	60	0	60-180	60	157	NoGap	1	26	2	0	1	target	1	560	720	12722	13.328	13.206	13.450
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090854	8	0.013328	60	0	60-180	60	78	NoGap	1	27	2	4	0	distractor	1	787	607	13329	13.328	13.099	13.521
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090900	8	0.013328	60	0	60-180	60	69	NoGap	1	28	2	2	0	distractor	1	627	687	14016	13.328	13.293	13.363
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090904	8	0.013328	60	0	60-180	60	77	NoGap	1	29	2	2	1	target	1	574	713	14729	13.328	13.293	13.363
ProbeTrackDT01	22	ProbeTrack	10.4	SCS215a	20100714.090604	20100714.090909	8	0.013328	60	0	60-180	60	174	NoGap	1	30	2	4	1	target	1	587	707	15436	13.328	13.205	13.485
