exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163208	8	0.013328	60	0	60-180	60	146	NoGap	1	1	3	2	1	target	1	2879	0	0	13.328	13.229	13.427
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163216	8	0.013328	60	0	60-180	60	160	NoGap	1	2	3	75	0	distractor	1	1586	207	207	13.328	13.287	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163224	8	0.013328	60	0	60-180	60	138	NoGap	1	3	3	75	1	target	1	1426	287	494	13.328	13.266	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163232	8	0.013328	60	0	60-180	60	64	NoGap	1	4	3	2	0	distractor	1	987	507	1001	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163237	8	0.013328	60	0	60-180	60	117	NoGap	1	5	3	75	1	target	1	613	694	1695	13.328	13.077	13.550
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163243	8	0.013328	60	0	60-180	60	66	NoGap	1	6	3	1	0	distractor	1	707	647	2342	13.328	13.293	13.362
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163248	8	0.013328	60	0	60-180	60	175	NoGap	1	7	3	75	1	target	1	693	654	2996	13.328	13.032	13.616
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163256	8	0.013328	60	0	60-180	60	114	NoGap	1	8	3	2	1	target	1	867	567	3563	13.328	13.128	13.560
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163301	8	0.013328	60	0	60-180	60	163	NoGap	1	9	3	4	1	target	1	600	700	4263	13.328	13.292	13.364
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163307	8	0.013328	60	0	60-180	60	155	NoGap	1	10	3	4	1	target	1	627	687	4950	13.328	13.244	13.411
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163313	8	0.013328	60	0	60-180	60	152	NoGap	1	11	3	0	1	distractor	0	520	-1000	3950	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163319	8	0.013328	60	0	60-180	60	115	NoGap	1	12	3	1	0	distractor	1	1013	494	4444	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163325	8	0.013328	60	0	60-180	60	93	NoGap	1	13	3	1	0	distractor	1	893	554	4998	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163331	8	0.013328	60	0	60-180	60	70	NoGap	1	14	3	4	0	distractor	1	1360	320	5318	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163336	8	0.013328	60	0	60-180	60	117	NoGap	1	15	3	4	0	distractor	1	880	560	5878	13.328	13.167	13.498
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163342	8	0.013328	60	0	60-180	60	125	NoGap	1	16	3	0	1	target	1	574	713	6591	13.328	13.114	13.530
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163347	8	0.013328	60	0	60-180	60	130	NoGap	1	17	3	75	0	distractor	1	947	527	7118	13.328	13.020	13.617
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163354	8	0.013328	60	0	60-180	60	139	NoGap	1	18	3	2	1	target	1	787	607	7725	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163400	8	0.013328	60	0	60-180	60	117	NoGap	1	19	3	1	1	target	1	987	507	8232	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163406	8	0.013328	60	0	60-180	60	78	NoGap	1	20	3	1	1	target	1	1040	480	8712	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163412	8	0.013328	60	0	60-180	60	96	NoGap	1	21	3	75	0	distractor	1	800	600	9312	13.328	13.293	13.363
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163418	8	0.013328	60	0	60-180	60	80	NoGap	1	22	3	2	1	target	1	1626	187	9499	13.328	13.057	13.565
ProbeTrackDT01	7	ProbeTrackDT01	10.3	SCS215a	20100519.163135	20100519.163424	8	0.013328	60	0	60-180	60	89	NoGap	1	23	3	0	1	target	1	733	634	10133	13.328	13.022	13.634
