exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090325	20100823.090340	8	0.013342	60	0	60-180	60	141	NoGap	1	1	2	3	1	target	1	24004	0	0	13.328	13.293	13.363
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090325	20100823.090409	8	0.013342	60	0	60-180	60	84	NoGap	1	2	2	3	1	target	1	1973	14	14	13.328	13.293	13.363
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090451	8	0.013328	60	0	60-180	60	129	NoGap	1	1	2	1	1	distractor	0	1520	-1000	-986	13.328	13.310	13.348
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090457	8	0.013328	60	0	60-180	60	89	NoGap	1	2	2	6	1	target	1	1027	487	-499	13.328	13.090	13.546
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090503	8	0.013328	60	0	60-180	60	132	NoGap	1	3	2	9	0	distractor	1	987	507	8	13.328	13.088	13.566
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090509	8	0.013328	60	0	60-180	60	122	NoGap	1	4	2	45	0	distractor	1	987	507	515	13.328	13.307	13.348
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090516	8	0.013328	60	0	60-180	60	161	NoGap	1	5	2	1	1	target	1	813	594	1109	13.328	13.105	13.543
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090522	8	0.013328	60	0	60-180	60	130	NoGap	1	6	2	6	0	distractor	1	920	540	1649	13.328	13.111	13.549
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090528	8	0.013328	60	0	60-180	60	90	NoGap	1	7	2	9	0	distractor	1	600	700	2349	13.328	13.291	13.365
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090533	8	0.013328	60	0	60-180	60	146	NoGap	1	8	2	1	0	target	0	627	-1000	1349	13.328	12.854	13.769
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090539	8	0.013328	60	0	60-180	60	126	NoGap	1	9	2	3	0	distractor	1	614	693	2042	13.328	12.934	13.748
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090545	8	0.013328	60	0	60-180	60	76	NoGap	1	10	2	6	1	distractor	0	494	-1000	1042	13.328	12.900	13.754
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090550	8	0.013328	60	0	60-180	60	148	NoGap	1	11	2	45	1	distractor	0	694	-1000	42	13.328	13.091	13.551
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090556	8	0.013328	60	0	60-180	60	96	NoGap	1	12	2	45	0	distractor	1	813	594	636	13.328	13.308	13.348
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090602	8	0.013328	60	0	60-180	60	120	NoGap	1	13	2	3	1	target	1	534	733	1369	13.383	12.851	26.725
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090608	8	0.013328	60	0	60-180	60	121	NoGap	1	14	2	1	1	target	1	1000	500	1869	13.328	13.310	13.345
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090614	8	0.013328	60	0	60-180	60	114	NoGap	1	15	2	6	1	target	1	440	780	2649	13.328	13.103	13.548
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090619	8	0.013328	60	0	60-180	60	159	NoGap	1	16	2	3	0	distractor	1	600	700	3349	13.328	13.149	13.556
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090625	8	0.013328	60	0	60-180	60	143	NoGap	1	17	2	45	1	target	1	494	753	4102	13.328	13.098	13.559
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090632	8	0.013328	60	0	60-180	60	165	NoGap	1	18	2	1	1	target	1	400	800	4902	13.328	12.859	13.806
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090638	8	0.013328	60	0	60-180	60	132	NoGap	1	19	2	9	1	target	1	494	753	5655	13.328	12.881	13.782
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090644	8	0.013328	60	0	60-180	60	93	NoGap	1	20	2	45	1	target	1	440	780	6435	13.328	13.306	13.355
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090649	8	0.013328	60	0	60-180	60	100	NoGap	1	21	2	3	1	target	1	400	800	7235	13.328	13.307	13.347
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090654	8	0.013328	60	0	60-180	60	133	NoGap	1	22	2	45	1	target	1	707	647	7882	13.328	13.104	13.548
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090701	8	0.013328	60	0	60-180	60	141	NoGap	1	23	2	3	1	target	1	520	740	8622	13.328	12.875	13.793
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090707	8	0.013328	60	0	60-180	60	102	NoGap	1	24	2	9	0	distractor	1	693	654	9276	13.328	13.014	13.644
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090712	8	0.013328	60	0	60-180	60	162	NoGap	1	25	2	6	0	distractor	1	813	594	9870	13.372	13.301	26.676
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090718	8	0.013328	60	0	60-180	60	172	NoGap	1	26	2	1	0	distractor	1	507	747	10617	13.328	12.858	13.799
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090725	8	0.013328	60	0	60-180	60	101	NoGap	1	27	2	9	1	target	1	773	614	11231	13.382	13.304	26.643
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090730	8	0.013328	60	0	60-180	60	149	NoGap	1	28	2	1	0	distractor	1	560	720	11951	13.328	12.934	13.725
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090736	8	0.013328	60	0	60-180	60	101	NoGap	1	29	2	6	1	target	1	667	667	12618	13.328	12.851	13.809
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090742	8	0.013328	60	0	60-180	60	164	NoGap	1	30	2	6	0	distractor	1	587	707	13325	13.328	12.944	13.699
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090748	8	0.013328	60	0	60-180	60	101	NoGap	1	31	2	1	0	distractor	1	693	654	13979	13.328	13.307	13.349
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090753	8	0.013328	60	0	60-180	60	69	NoGap	1	32	2	45	0	distractor	1	600	700	14679	13.328	12.980	13.679
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090758	8	0.013328	60	0	60-180	60	110	NoGap	1	33	2	6	0	distractor	1	800	600	15279	13.328	13.003	13.650
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090804	8	0.013328	60	0	60-180	60	100	NoGap	1	34	2	9	1	target	1	880	560	15839	13.328	13.093	13.549
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090810	8	0.013328	60	0	60-180	60	74	NoGap	1	35	2	3	1	target	1	653	674	16513	13.328	13.312	13.347
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090815	8	0.013328	60	0	60-180	60	175	NoGap	1	36	2	3	0	distractor	1	587	707	17220	13.328	13.309	13.348
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090821	8	0.013328	60	0	60-180	60	88	NoGap	1	37	2	3	0	distractor	1	760	620	17840	13.328	13.308	13.347
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090826	8	0.013328	60	0	60-180	60	136	NoGap	1	38	2	9	0	target	0	534	-1000	16840	13.328	13.098	13.559
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090832	8	0.013328	60	0	60-180	60	156	NoGap	1	39	2	45	0	distractor	1	1200	400	17240	13.328	13.307	13.347
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090446	20100823.090839	8	0.013328	60	0	60-180	60	101	NoGap	1	40	2	9	1	target	1	827	587	17827	13.328	12.855	13.816
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.090945	8	0.013328	60	10	60-180	60	166	GapPrac	1	1	2	45	0	distractor	1	5345	0	17827	13.328	13.306	13.351
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.090956	8	0.013328	60	10	60-180	60	126	GapPrac	1	2	2	6	0	distractor	1	1080	460	18287	13.328	12.861	13.788
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091003	8	0.013328	60	10	60-180	60	146	GapPrac	1	3	2	45	1	target	1	747	627	18914	13.328	12.959	13.698
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091009	8	0.013328	60	10	60-180	60	89	GapPrac	1	4	2	9	1	target	1	920	540	19454	13.328	12.958	13.699
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091015	8	0.013328	60	10	60-180	60	153	GapPrac	1	5	2	3	0	distractor	1	800	600	20054	13.328	12.886	13.764
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091021	8	0.013328	60	10	60-180	60	143	GapPrac	1	6	2	45	0	distractor	1	707	647	20701	13.328	13.309	13.347
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091028	8	0.013328	60	10	60-180	60	144	GapPrac	1	7	2	45	1	target	1	720	640	21341	13.449	12.830	40.345
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091035	8	0.013328	60	10	60-180	60	121	GapPrac	1	8	2	9	0	distractor	1	1267	367	21708	13.328	13.294	13.364
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091041	8	0.013328	60	10	60-180	60	65	GapPrac	1	9	2	6	1	target	1	654	673	22381	13.328	12.885	13.775
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091046	8	0.013328	60	10	60-180	60	65	GapPrac	1	10	2	1	0	target	0	1400	-1000	21381	13.328	13.296	13.349
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091052	8	0.013328	60	10	60-180	60	138	GapPrac	1	11	2	9	1	target	1	787	607	21988	13.328	13.099	13.549
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091058	8	0.013328	60	10	60-180	60	61	GapPrac	1	12	2	6	0	distractor	1	680	660	22648	13.328	12.994	13.666
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091103	8	0.013328	60	10	60-180	60	144	GapPrac	1	13	2	1	1	target	1	720	640	23288	13.328	13.310	13.347
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091110	8	0.013328	60	10	60-180	60	112	GapPrac	1	14	2	1	0	distractor	1	1586	207	23495	13.328	13.302	13.353
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091116	8	0.013328	60	10	60-180	60	107	GapPrac	1	15	2	6	1	target	1	560	720	24215	13.328	13.296	13.373
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091122	8	0.013328	60	10	60-180	60	157	GapPrac	1	16	2	3	1	target	1	707	647	24862	13.328	13.100	13.558
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091128	8	0.013328	60	10	60-180	60	98	GapPrac	1	17	2	3	0	distractor	1	1107	447	25309	13.328	13.100	13.549
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091134	8	0.013328	60	10	60-180	60	111	GapPrac	1	18	2	1	1	target	1	560	720	26029	13.328	13.117	13.544
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091139	8	0.013328	60	10	60-180	60	90	GapPrac	1	19	2	9	0	distractor	1	614	693	26722	13.328	13.307	13.350
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.090938	20100823.091145	8	0.013328	60	10	60-180	60	123	GapPrac	1	20	2	3	1	target	1	693	654	27376	13.328	13.304	13.352
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.091447	20100823.091451	8	0.013328	60	10	60-180	60	77	GapPrac	1	1	2	1	1	target	1	693	654	28030	13.389	13.099	26.670
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.091447	20100823.091456	8	0.013328	60	10	60-180	60	98	GapPrac	1	2	2	9	0	distractor	1	494	753	28783	13.328	13.302	13.353
DTProbeTrack02	8	ProbeTrack	12.1	SCS215a	20100823.091447	20100823.091501	8	0.013328	60	10	60-180	60	64	GapPrac	1	3	2	45	1	target	1	560	720	29503	13.328	13.309	13.354
