exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090651	8	0.013328	60	0	60-180	60	120	NoGap	1	1	2	1	0	distractor	1	1080	460	460	13.328	13.289	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090657	8	0.013328	60	0	60-180	60	164	NoGap	1	2	2	3	1	target	1	400	800	1260	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090703	8	0.013328	60	0	60-180	60	118	NoGap	1	3	2	9	1	distractor	0	454	-1000	260	13.328	13.292	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090708	8	0.013328	60	0	60-180	60	110	NoGap	1	4	2	9	0	target	0	614	-1000	-740	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090714	8	0.013328	60	0	60-180	60	123	NoGap	1	5	2	9	1	target	1	560	720	-20	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090719	8	0.013328	60	0	60-180	60	88	NoGap	1	6	2	45	1	distractor	0	560	-1000	-1020	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090725	8	0.013328	60	0	60-180	60	137	NoGap	1	7	2	6	0	distractor	1	680	660	-360	13.328	13.291	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090731	8	0.013328	60	0	60-180	60	78	NoGap	1	8	2	45	0	target	0	667	-1000	-1360	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090736	8	0.013328	60	0	60-180	60	177	NoGap	1	9	2	45	1	target	1	893	554	-806	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090743	8	0.013328	60	0	60-180	60	141	NoGap	1	10	2	3	0	distractor	1	680	660	-146	13.328	13.293	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090749	8	0.013328	60	0	60-180	60	91	NoGap	1	11	2	1	1	target	1	680	660	514	13.327	13.291	13.364
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090754	8	0.013328	60	0	60-180	60	116	NoGap	1	12	2	9	1	target	1	653	674	1188	13.328	13.292	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090800	8	0.013328	60	0	60-180	60	79	NoGap	1	13	2	9	1	target	1	720	640	1828	13.328	13.292	13.363
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090805	8	0.013328	60	0	60-180	60	152	NoGap	1	14	2	1	1	target	1	787	607	2435	13.328	13.289	13.364
DTProbeTrack02	2	ProbeTrack	12.1	SCS215a	20100804.090634	20100804.090811	8	0.013328	60	0	60-180	60	163	NoGap	1	15	2	3	0	target	0	1013	-1000	1435	13.328	13.292	13.363
