exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.123940	8	0.013328	60	0	60-180	60	78	NoGap	None	1	1	2	1	0	target	0	647	-1000	-1000	13.393	13.172	13.352
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124120	8	0.013328	60	0	60-180	60	96	NoGap	None	1	2	2	30	1	target	1	495	753	-247	13.328	13.308	13.351
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124133	8	0.013328	60	0	60-180	60	61	NoGap	None	1	3	2	0	1	target	1	823	589	342	13.328	12.997	13.683
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124140	8	0.013328	60	0	60-180	60	95	NoGap	None	1	4	2	1	1	target	1	648	676	1018	13.328	12.986	13.670
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124146	8	0.013328	60	0	60-180	60	97	NoGap	None	1	5	2	3	0	distractor	1	633	684	1702	13.328	13.106	13.557
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124153	8	0.013328	60	0	60-180	60	166	NoGap	None	1	6	2	30	0	distractor	1	670	665	2367	13.328	13.307	13.347
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124201	8	0.013328	60	0	60-180	60	76	NoGap	None	1	7	2	1	0	distractor	1	762	619	2986	13.328	13.106	13.551
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124207	8	0.013328	60	0	60-180	60	153	NoGap	None	1	8	2	0	0	distractor	1	687	657	3643	13.328	13.113	13.557
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124213	8	0.013328	60	0	60-180	60	148	NoGap	None	1	9	2	3	1	early	-4	-3767	-1000	2643	13.328	12.912	13.760
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124220	8	0.013328	60	0	60-180	60	78	NoGap	None	1	10	2	30	0	distractor	1	594	703	3346	13.328	12.868	13.777
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124227	8	0.013328	60	0	60-180	60	142	NoGap	None	1	11	2	1	0	distractor	1	529	736	4082	13.328	13.122	13.537
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124234	8	0.013328	60	0	60-180	60	114	NoGap	None	1	12	2	0	1	target	1	496	752	4834	13.328	13.099	13.551
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124240	8	0.013328	60	0	60-180	60	178	NoGap	None	1	13	2	1	1	target	1	565	718	5552	13.328	13.112	13.552
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124247	8	0.013328	60	0	60-180	60	106	NoGap	None	1	14	2	1	1	target	1	575	713	6265	13.328	13.271	13.375
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124253	8	0.013328	60	0	60-180	60	135	NoGap	None	1	15	2	3	0	distractor	1	462	769	7034	13.328	12.914	13.733
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124300	8	0.013328	60	0	60-180	60	130	NoGap	None	1	16	2	3	0	target	0	509	-1000	6034	13.328	13.270	13.373
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124306	8	0.013328	60	0	60-180	60	87	NoGap	None	1	17	2	0	0	distractor	1	751	625	6659	13.328	13.056	13.601
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124312	8	0.013328	60	0	60-180	60	101	NoGap	None	1	18	2	0	1	target	1	575	713	7372	13.328	13.307	13.348
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124318	8	0.013328	60	0	60-180	60	106	NoGap	None	1	19	2	3	1	target	1	531	735	8107	13.328	12.859	13.780
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124324	8	0.013328	60	0	60-180	60	71	NoGap	None	1	20	2	0	0	distractor	1	697	652	8759	13.328	13.092	13.559
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124330	8	0.013328	60	0	60-180	60	140	NoGap	None	1	21	2	30	1	target	1	382	809	9568	13.328	12.968	13.677
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124337	8	0.013328	60	0	60-180	60	110	NoGap	None	1	22	2	1	0	distractor	1	494	753	10321	13.328	13.104	13.558
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124343	8	0.013328	60	0	60-180	60	159	NoGap	None	1	23	2	30	1	distractor	0	603	-1000	9321	13.328	13.103	13.541
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124350	8	0.013328	60	0	60-180	60	147	NoGap	None	1	24	2	30	1	target	1	412	794	10115	13.328	13.091	13.552
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124358	8	0.013328	60	0	60-180	60	147	NoGap	None	1	25	2	30	0	distractor	1	589	706	10821	13.328	13.092	13.558
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124405	8	0.013328	60	0	60-180	60	180	NoGap	None	1	26	2	0	0	target	0	599	-1000	9821	13.328	13.286	13.370
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124412	8	0.013328	60	0	60-180	60	132	NoGap	None	1	27	2	0	1	target	1	594	703	10524	13.328	12.888	13.782
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124419	8	0.013328	60	0	60-180	60	179	NoGap	None	1	28	2	0	0	distractor	1	621	690	11214	13.328	13.118	13.551
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124426	8	0.013328	60	0	60-180	60	97	NoGap	None	1	29	2	3	1	target	1	568	716	11930	13.328	13.092	13.564
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124432	8	0.013328	60	0	60-180	60	170	NoGap	None	1	30	2	3	0	distractor	1	616	692	12622	13.328	12.976	13.674
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124440	8	0.013328	60	0	60-180	60	93	NoGap	None	1	31	2	30	1	target	1	270	865	13487	13.328	13.305	13.348
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124445	8	0.013328	60	0	60-180	60	92	NoGap	None	1	32	2	3	0	distractor	1	600	700	14187	13.328	12.928	13.729
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124451	8	0.013328	60	0	60-180	60	123	NoGap	None	1	33	2	30	0	distractor	1	518	741	14928	13.328	12.941	13.722
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124458	8	0.013328	60	0	60-180	60	67	NoGap	None	1	34	2	0	1	target	1	593	704	15632	13.328	13.310	13.345
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124503	8	0.013328	60	0	60-180	60	94	NoGap	None	1	35	2	1	1	target	1	464	768	16400	13.328	13.105	13.537
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124509	8	0.013328	60	0	60-180	60	140	NoGap	None	1	36	2	30	0	distractor	1	669	666	17066	13.328	12.859	13.797
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124517	8	0.013328	60	0	60-180	60	126	NoGap	None	1	37	2	1	0	distractor	1	592	704	17770	13.328	13.099	13.563
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124523	8	0.013328	60	0	60-180	60	62	NoGap	None	1	38	2	1	1	target	1	475	763	18533	13.328	12.980	13.704
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124529	8	0.013328	60	0	60-180	60	140	NoGap	None	1	39	2	3	1	target	1	552	724	19257	13.328	12.956	13.622
ProbeTrack15	14	ProbeTrack	15.0	SCS215a	20120508.123935	20120508.124535	8	0.013328	60	0	60-180	60	149	NoGap	None	1	40	2	3	1	target	1	419	791	20048	13.328	13.095	13.550
