exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120519	8	0.013328	60	0	60-180	60	169	NoGap	None	1	1	2	30	1	distractor	0	4054	-1000	-1000	13.368	8.547	18.109
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120715	8	0.013328	60	0	60-180	60	150	NoGap	None	1	2	2	3	1	target	1	715	643	-357	13.328	13.293	13.365
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120755	8	0.013328	60	0	60-180	60	158	NoGap	None	1	3	2	30	0	distractor	1	699	651	294	13.328	11.387	15.370
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120821	8	0.013328	60	0	60-180	60	162	NoGap	None	1	4	2	1	1	target	1	889	556	850	13.328	12.522	14.181
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120831	8	0.013328	60	0	60-180	60	75	NoGap	None	1	5	2	1	0	distractor	1	602	699	1549	13.328	13.307	13.344
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120837	8	0.013328	60	0	60-180	60	142	NoGap	None	1	6	2	0	1	distractor	0	595	-1000	549	13.328	13.298	13.359
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120844	8	0.013328	60	0	60-180	60	138	NoGap	None	1	7	2	3	0	target	0	1715	-1000	-451	13.328	7.069	19.605
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120852	8	0.013328	60	0	60-180	60	157	NoGap	None	1	8	2	30	1	distractor	0	986	-1000	-1451	13.328	13.100	13.546
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120903	8	0.013328	60	0	60-180	60	113	NoGap	None	1	9	2	30	1	distractor	0	514	-1000	-2451	13.328	12.515	14.174
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120912	8	0.013328	60	0	60-180	60	70	NoGap	None	1	10	2	30	1	distractor	0	1877	-1000	-3451	13.328	13.083	13.565
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120922	8	0.013328	60	0	60-180	60	78	NoGap	None	1	11	2	1	0	distractor	1	1482	259	-3192	13.328	11.115	15.530
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120945	8	0.013328	60	0	60-180	60	86	NoGap	None	1	12	2	1	1	distractor	0	1481	-1000	-4192	13.328	5.023	21.631
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.120956	8	0.013328	60	0	60-180	60	66	NoGap	None	1	13	2	3	1	distractor	0	1262	-1000	-5192	13.328	13.272	13.367
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121011	8	0.013328	60	0	60-180	60	131	NoGap	None	1	14	2	30	0	target	0	750	-1000	-6192	13.328	13.310	13.350
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121030	8	0.013328	60	0	60-180	60	93	NoGap	None	1	15	2	30	0	distractor	1	542	729	-5463	13.324	12.504	13.552
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121040	8	0.013328	60	0	60-180	60	163	NoGap	None	1	16	2	1	0	distractor	1	596	702	-4761	13.328	10.743	15.910
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121047	8	0.013328	60	0	60-180	60	123	NoGap	None	1	17	2	0	0	distractor	1	476	762	-3999	13.328	7.359	19.305
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121052	8	0.013328	60	0	60-180	60	97	NoGap	None	1	18	2	30	0	distractor	1	372	814	-3185	13.328	13.110	13.546
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121058	8	0.013328	60	0	60-180	60	68	NoGap	None	1	19	2	3	1	distractor	0	398	-1000	-4185	13.403	8.417	20.507
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121104	8	0.013328	60	0	60-180	60	111	NoGap	None	1	20	2	30	1	target	1	402	799	-3386	13.328	3.597	23.045
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121111	8	0.013328	60	0	60-180	60	134	NoGap	None	1	21	2	1	1	target	1	356	822	-2564	13.328	13.305	13.347
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121117	8	0.013328	60	0	60-180	60	134	NoGap	None	1	22	2	0	1	target	1	327	837	-1727	13.328	13.307	13.346
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121123	8	0.013328	60	0	60-180	60	176	NoGap	None	1	23	2	1	1	target	1	327	837	-890	13.328	8.142	18.522
ProbeTrack15	5	ProbeTrack	15.0	SCS215a	20120207.120448	20120207.121129	8	0.013328	60	0	60-180	60	176	NoGap	None	1	24	2	3	1	target	1	350	825	-65	13.328	13.071	13.579
