exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.410573	8	0.013327	60	0	60-180	60	137	NoGap	1	1	4	96	0	distractor	1	1573	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411064	8	0.013327	60	0	60-180	60	93	NoGap	1	2	4	3	1	target	1	973	13.328	13.293	13.369
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411373	8	0.013327	60	0	60-180	60	67	NoGap	1	3	4	96	1	target	1	693	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411447	8	0.013327	60	0	60-180	60	123	NoGap	1	4	4	6	0	distractor	1	747	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411517	8	0.013327	60	0	60-180	60	75	NoGap	1	5	4	0	0	target	0	533	13.328	13.285	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411574	8	0.013327	60	0	60-180	60	80	NoGap	1	6	4	96	1	target	1	787	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411658	8	0.013327	60	0	60-180	60	86	NoGap	1	7	4	6	0	distractor	1	827	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411719	8	0.013327	60	0	60-180	60	177	NoGap	1	8	4	96	0	distractor	1	867	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411809	8	0.013327	60	0	60-180	60	100	NoGap	1	9	4	3	1	target	1	773	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411872	8	0.013327	60	0	60-180	60	77	NoGap	1	10	4	3	0	distractor	1	640	13.328	13.293	13.366
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.411927	8	0.013327	60	0	60-180	60	143	NoGap	1	11	4	96	1	distractor	0	973	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412012	8	0.013327	60	0	60-180	60	89	NoGap	1	12	4	6	1	target	1	747	13.327	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412074	8	0.013327	60	0	60-180	60	70	NoGap	1	13	4	6	0	target	0	547	13.328	13.292	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412129	8	0.013327	60	0	60-180	60	160	NoGap	1	14	4	3	1	target	1	613	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412229	8	0.013327	60	0	60-180	60	169	NoGap	1	15	4	96	1	target	1	507	13.328	13.292	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412313	8	0.013327	60	0	60-180	60	65	NoGap	1	16	4	96	1	target	1	933	13.328	13.293	13.370
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412384	8	0.013327	60	0	60-180	60	140	NoGap	1	17	4	6	1	target	1	720	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412450	8	0.013327	60	0	60-180	60	139	NoGap	1	18	4	96	1	distractor	0	747	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412530	8	0.013327	60	0	60-180	60	97	NoGap	1	19	4	96	1	target	1	627	13.328	13.293	13.364
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412609	8	0.013327	60	0	60-180	60	148	NoGap	1	20	4	3	1	target	1	560	13.328	13.287	13.367
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412675	8	0.013327	60	0	60-180	60	98	NoGap	1	21	4	6	0	distractor	1	760	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412735	8	0.013327	60	0	60-180	60	71	NoGap	1	22	4	0	1	target	1	507	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412802	8	0.013327	60	0	60-180	60	109	NoGap	1	23	4	6	1	target	1	640	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412863	8	0.013327	60	0	60-180	60	152	NoGap	1	24	4	96	0	distractor	1	707	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.412945	8	0.013327	60	0	60-180	60	76	NoGap	1	25	4	0	1	target	1	600	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413011	8	0.013327	60	0	60-180	60	135	NoGap	1	26	4	3	0	distractor	1	627	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413081	8	0.013327	60	0	60-180	60	143	NoGap	1	27	4	6	0	distractor	1	947	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413154	8	0.013327	60	0	60-180	60	138	NoGap	1	28	4	3	1	target	1	600	13.328	13.290	13.365
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413221	8	0.013327	60	0	60-180	60	67	NoGap	1	29	4	6	0	distractor	1	614	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413278	8	0.013327	60	0	60-180	60	146	NoGap	1	30	4	3	0	distractor	1	760	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413347	8	0.013327	60	0	60-180	60	93	NoGap	1	31	4	3	1	distractor	0	560	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413406	8	0.013327	60	0	60-180	60	62	NoGap	1	32	4	0	1	target	1	440	13.328	13.293	13.362
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413457	8	0.013327	60	0	60-180	60	80	NoGap	1	33	4	0	0	distractor	1	613	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413512	8	0.013327	60	0	60-180	60	114	NoGap	1	34	4	96	0	distractor	1	853	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413591	8	0.013327	60	0	60-180	60	154	NoGap	1	35	4	6	1	target	1	1133	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413664	8	0.013327	60	0	60-180	60	105	NoGap	1	36	4	3	1	target	1	427	13.327	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413724	8	0.013327	60	0	60-180	60	175	NoGap	1	37	4	0	0	distractor	1	667	13.328	13.290	13.366
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413795	8	0.013327	60	0	60-180	60	134	NoGap	1	38	4	0	1	target	1	467	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413858	8	0.013327	60	0	60-180	60	151	NoGap	1	39	4	0	0	distractor	1	627	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413923	8	0.013327	60	0	60-180	60	180	NoGap	1	40	4	3	0	distractor	1	627	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.413995	8	0.013327	60	0	60-180	60	160	NoGap	1	41	4	3	0	distractor	1	640	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414064	8	0.013327	60	0	60-180	60	76	NoGap	1	42	4	0	0	distractor	1	787	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414115	8	0.013327	60	0	60-180	60	85	NoGap	1	43	4	6	1	target	1	440	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414165	8	0.013327	60	0	60-180	60	67	NoGap	1	44	4	96	0	distractor	1	1040	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414240	8	0.013327	60	0	60-180	60	148	NoGap	1	45	4	0	0	target	0	533	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414306	8	0.013327	60	0	60-180	60	123	NoGap	1	46	4	0	1	target	1	427	13.328	13.293	13.362
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414367	8	0.013327	60	0	60-180	60	71	NoGap	1	47	4	96	0	distractor	1	653	13.328	13.292	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414434	8	0.013327	60	0	60-180	60	81	NoGap	1	48	4	6	0	distractor	1	600	13.327	13.292	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414490	8	0.013327	60	0	60-180	60	100	NoGap	1	49	4	3	0	distractor	1	627	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.410141	733709.414546	8	0.013327	60	0	60-180	60	155	NoGap	1	50	4	96	0	distractor	1	787	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419031	8	0.013328	60	10	60-180	60	108	GapPrac	1	1	3	0	0	distractor	1	853	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419220	8	0.013328	60	10	60-180	60	62	GapPrac	1	2	3	0	1	target	1	600	13.328	13.293	13.362
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419332	8	0.013328	60	10	60-180	60	95	GapPrac	1	3	3	96	0	distractor	1	507	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419407	8	0.013328	60	10	60-180	60	103	GapPrac	1	4	3	3	1	distractor	0	640	13.327	13.292	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419471	8	0.013328	60	10	60-180	60	149	GapPrac	1	5	3	6	0	target	0	693	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419541	8	0.013328	60	10	60-180	60	167	GapPrac	1	6	3	96	0	distractor	1	680	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419630	8	0.013328	60	10	60-180	60	174	GapPrac	1	7	3	96	1	target	1	480	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419716	8	0.013328	60	10	60-180	60	142	GapPrac	1	8	3	3	0	target	0	867	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419780	8	0.013328	60	10	60-180	60	165	GapPrac	1	9	3	0	1	target	1	773	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419850	8	0.013328	60	10	60-180	60	170	GapPrac	1	10	3	3	0	distractor	1	707	13.328	13.142	13.546
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.419922	8	0.013328	60	10	60-180	60	136	GapPrac	1	11	3	96	0	distractor	1	613	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420003	8	0.013328	60	10	60-180	60	89	GapPrac	1	12	3	6	1	target	1	627	13.328	13.293	13.362
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420056	8	0.013328	60	10	60-180	60	132	GapPrac	1	13	3	96	1	target	1	507	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420134	8	0.013328	60	10	60-180	60	159	GapPrac	1	14	3	6	1	target	1	480	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420203	8	0.013328	60	10	60-180	60	173	GapPrac	1	15	3	3	1	target	1	547	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420269	8	0.013328	60	10	60-180	60	83	GapPrac	1	16	3	0	0	target	0	547	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420325	8	0.013328	60	10	60-180	60	150	GapPrac	1	17	3	0	1	target	1	480	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420390	8	0.013328	60	10	60-180	60	115	GapPrac	1	18	3	3	1	distractor	0	840	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420456	8	0.013328	60	10	60-180	60	128	GapPrac	1	19	3	6	0	distractor	1	720	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.418610	733709.420520	8	0.013328	60	10	60-180	60	73	GapPrac	1	20	3	0	0	target	0	494	13.328	13.293	13.366
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.421084	733709.421138	8	0.013328	60	10	60-180	60	180	GapPrac	1	1	3	3	0	distractor	1	627	13.328	13.293	13.365
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.421084	733709.421222	8	0.013328	60	10	60-180	60	111	GapPrac	1	2	3	0	0	distractor	1	787	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.421084	733709.421317	8	0.013328	60	10	60-180	60	72	GapPrac	1	3	3	96	1	target	1	613	13.328	13.293	13.363
ProbeTrack7	5	ProbeTrack	1404	SCS215a	733709.421084	733709.421391	8	0.013328	60	10	60-180	60	179	GapPrac	1	4	3	6	1	target	1	680	13.328	13.293	13.363
