exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.392816	8	0.013328	60	0	60-180	60	71	NoGap	1	1	4	3	0	target	0	373	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.393155	8	0.013328	60	0	60-180	60	67	NoGap	1	2	4	96	0	distractor	1	1160	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.393492	8	0.013328	60	0	60-180	60	180	NoGap	1	3	4	6	1	distractor	0	840	13.328	13.292	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.393735	8	0.013328	60	0	60-180	60	157	NoGap	1	4	4	0	1	target	1	533	13.328	13.292	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.393893	8	0.013328	60	0	60-180	60	100	NoGap	1	5	4	96	1	distractor	0	1013	13.328	13.287	13.368
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394009	8	0.013328	60	0	60-180	60	144	NoGap	1	6	4	6	0	distractor	1	1280	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394102	8	0.013328	60	0	60-180	60	161	NoGap	1	7	4	0	0	distractor	1	1453	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394195	8	0.013328	60	0	60-180	60	164	NoGap	1	8	4	6	0	distractor	1	1186	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394293	8	0.013328	60	0	60-180	60	81	NoGap	1	9	4	0	0	distractor	1	2626	13.328	13.289	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394387	8	0.013328	60	0	60-180	60	148	NoGap	1	10	4	3	0	target	0	1426	13.328	13.292	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394483	8	0.013328	60	0	60-180	60	180	NoGap	1	11	4	6	1	target	1	1853	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394582	8	0.013328	60	0	60-180	60	139	NoGap	1	12	4	3	0	distractor	1	1759	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394678	8	0.013328	60	0	60-180	60	165	NoGap	1	13	4	0	1	distractor	0	667	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394765	8	0.013328	60	0	60-180	60	134	NoGap	1	14	4	6	1	target	1	227	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394848	8	0.013328	60	0	60-180	60	118	NoGap	1	15	4	0	1	target	1	440	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.394918	8	0.013328	60	0	60-180	60	122	NoGap	1	16	4	96	0	32	-3	720	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.395008	8	0.013328	60	0	60-180	60	67	NoGap	1	17	4	3	0	distractor	1	1440	13.328	13.292	13.362
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.395085	8	0.013328	60	0	60-180	60	123	NoGap	1	18	4	0	0	distractor	1	773	13.328	13.293	13.363
ProbeTrack7	12	ProbeTrack	1406	SCS215a	733716.392725	733716.395162	8	0.013328	60	0	60-180	60	164	NoGap	1	19	4	0	1	target	1	627	13.328	13.293	13.363
