exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.442105	8	0.013328	60	0	60-180	60	166	NoGap	1	1	4	3	1	target	1	1200	13.328	13.325	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.442840	8	0.013328	60	0	60-180	60	145	NoGap	1	2	4	6	0	distractor	1	440	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.442972	8	0.013328	60	0	60-180	60	164	NoGap	1	3	4	3	0	distractor	1	600	13.328	13.325	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443072	8	0.013328	60	0	60-180	60	106	NoGap	1	4	4	6	0	target	0	587	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443319	8	0.013328	60	0	60-180	60	91	NoGap	1	5	4	3	1	distractor	0	627	13.328	13.324	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443391	8	0.013328	60	0	60-180	60	125	NoGap	1	6	4	0	0	target	0	280	13.328	13.322	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443468	8	0.013328	60	0	60-180	60	125	NoGap	1	7	4	0	1	target	1	853	13.328	13.324	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443545	8	0.013328	60	0	60-180	60	138	NoGap	1	8	4	6	1	target	1	813	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443627	8	0.013328	60	0	60-180	60	122	NoGap	1	9	4	96	1	target	1	387	13.328	13.298	13.359
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443713	8	0.013328	60	0	60-180	60	123	NoGap	1	10	4	96	0	distractor	1	653	13.328	13.320	13.335
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443802	8	0.013328	60	0	60-180	60	111	NoGap	1	11	4	3	0	distractor	1	813	13.328	13.325	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443876	8	0.013328	60	0	60-180	60	140	NoGap	1	12	4	0	0	distractor	1	627	13.328	13.322	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.443955	8	0.013328	60	0	60-180	60	77	NoGap	1	13	4	96	0	distractor	1	707	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444046	8	0.013328	60	0	60-180	60	93	NoGap	1	14	4	3	0	distractor	1	680	13.328	13.144	13.511
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444117	8	0.013328	60	0	60-180	60	135	NoGap	1	15	4	0	0	distractor	1	600	13.328	13.323	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444190	8	0.013328	60	0	60-180	60	73	NoGap	1	16	4	96	0	distractor	1	653	13.328	13.320	13.335
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444270	8	0.013328	60	0	60-180	60	164	NoGap	1	17	4	6	1	target	1	547	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444347	8	0.013328	60	0	60-180	60	83	NoGap	1	18	4	96	1	target	1	613	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444428	8	0.013328	60	0	60-180	60	171	NoGap	1	19	4	3	1	target	1	547	13.328	13.320	13.336
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444503	8	0.013328	60	0	60-180	60	92	NoGap	1	20	4	96	0	distractor	1	547	13.328	13.325	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444584	8	0.013328	60	0	60-180	60	67	NoGap	1	21	4	0	0	target	0	627	13.328	13.324	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444647	8	0.013328	60	0	60-180	60	111	NoGap	1	22	4	6	0	distractor	1	667	13.328	13.321	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444716	8	0.013328	60	0	60-180	60	138	NoGap	1	23	4	96	1	distractor	0	573	13.328	13.323	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444802	8	0.013328	60	0	60-180	60	61	NoGap	1	24	4	96	1	target	1	667	13.328	13.319	13.337
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444878	8	0.013328	60	0	60-180	60	99	NoGap	1	25	4	96	0	distractor	1	693	13.328	13.313	13.344
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.444963	8	0.013328	60	0	60-180	60	116	NoGap	1	26	4	0	1	target	1	773	13.328	13.310	13.346
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445034	8	0.013328	60	0	60-180	60	176	NoGap	1	27	4	0	1	target	1	387	13.328	13.288	13.367
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445109	8	0.013328	60	0	60-180	60	71	NoGap	1	28	4	6	0	target	0	520	13.328	13.315	13.340
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445171	8	0.013328	60	0	60-180	60	84	NoGap	1	29	4	6	1	distractor	0	280	13.328	13.326	13.330
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445232	8	0.013328	60	0	60-180	60	110	NoGap	1	30	4	6	1	target	1	573	13.328	13.324	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445300	8	0.013328	60	0	60-180	60	146	NoGap	1	31	4	6	0	distractor	1	533	13.328	13.323	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445394	8	0.013328	60	0	60-180	60	64	NoGap	1	32	4	3	0	distractor	1	720	13.328	13.317	13.338
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445456	8	0.013328	60	0	60-180	60	61	NoGap	1	33	4	3	1	target	1	573	13.328	13.323	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445516	8	0.013328	60	0	60-180	60	116	NoGap	1	34	4	6	1	distractor	0	560	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445586	8	0.013328	60	0	60-180	60	176	NoGap	1	35	4	3	1	target	1	547	13.328	13.325	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445664	8	0.013328	60	0	60-180	60	138	NoGap	1	36	4	3	1	distractor	0	547	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445737	8	0.013328	60	0	60-180	60	74	NoGap	1	37	4	6	1	target	1	693	13.328	13.325	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445803	8	0.013328	60	0	60-180	60	83	NoGap	1	38	4	0	0	distractor	1	893	13.328	13.303	13.352
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445872	8	0.013328	60	0	60-180	60	79	NoGap	1	39	4	96	0	distractor	1	787	13.328	13.321	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.445954	8	0.013328	60	0	60-180	60	113	NoGap	1	40	4	6	0	distractor	1	813	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446027	8	0.013328	60	0	60-180	60	160	NoGap	1	41	4	6	0	distractor	1	640	13.328	13.314	13.341
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446106	8	0.013328	60	0	60-180	60	172	NoGap	1	42	4	3	1	target	1	787	13.328	13.325	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446187	8	0.013328	60	0	60-180	60	112	NoGap	1	43	4	3	0	distractor	1	667	13.328	13.322	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446253	8	0.013328	60	0	60-180	60	61	NoGap	1	44	4	0	1	target	1	800	13.328	13.322	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446312	8	0.013328	60	0	60-180	60	127	NoGap	1	45	4	3	0	distractor	1	547	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446382	8	0.013328	60	0	60-180	60	140	NoGap	1	46	4	0	1	distractor	0	640	13.328	13.323	13.334
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446453	8	0.013328	60	0	60-180	60	93	NoGap	1	47	4	0	1	target	1	853	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446519	8	0.013328	60	0	60-180	60	133	NoGap	1	48	4	0	0	distractor	1	680	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446589	8	0.013328	60	0	60-180	60	117	NoGap	1	49	4	96	1	target	1	520	13.328	13.322	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.441406	733716.446669	8	0.013328	60	0	60-180	60	78	NoGap	1	50	4	96	1	target	1	533	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450331	8	0.013328	60	10	60-180	60	73	GapPrac	1	1	3	6	1	target	1	2399	13.328	13.321	13.336
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450447	8	0.013328	60	10	60-180	60	165	GapPrac	1	2	3	6	0	distractor	1	800	13.328	13.322	13.334
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450534	8	0.013328	60	10	60-180	60	178	GapPrac	1	3	3	0	0	target	0	653	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450652	8	0.013328	60	10	60-180	60	158	GapPrac	1	4	3	96	1	distractor	0	347	13.328	13.323	13.333
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450740	8	0.013328	60	10	60-180	60	62	GapPrac	1	5	3	3	0	distractor	1	933	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450806	8	0.013328	60	10	60-180	60	172	GapPrac	1	6	3	0	0	distractor	1	693	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450883	8	0.013328	60	10	60-180	60	132	GapPrac	1	7	3	6	0	distractor	1	574	13.328	13.322	13.334
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.450955	8	0.013328	60	10	60-180	60	145	GapPrac	1	8	3	96	1	distractor	0	693	13.328	13.319	13.337
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451046	8	0.013328	60	10	60-180	60	144	GapPrac	1	9	3	96	1	target	1	907	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451138	8	0.013328	60	10	60-180	60	130	GapPrac	1	10	3	0	0	distractor	1	707	13.328	13.323	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451212	8	0.013328	60	10	60-180	60	141	GapPrac	1	11	3	6	1	target	1	827	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451292	8	0.013328	60	10	60-180	60	164	GapPrac	1	12	3	3	1	target	1	600	13.328	13.318	13.337
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451366	8	0.013328	60	10	60-180	60	142	GapPrac	1	13	3	6	1	target	1	733	13.328	13.322	13.335
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451444	8	0.013328	60	10	60-180	60	102	GapPrac	1	14	3	3	1	target	1	693	13.328	13.309	13.346
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451511	8	0.013328	60	10	60-180	60	115	GapPrac	1	15	3	0	1	target	1	613	13.328	13.324	13.332
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451578	8	0.013328	60	10	60-180	60	151	GapPrac	1	16	3	96	0	distractor	1	680	13.328	13.324	13.331
ProbeTrack7	13	ProbeTrack	1406	SCS215f	733716.449984	733716.451666	8	0.013328	60	10	60-180	60	148	GapPrac	1	17	3	3	0	distractor	1	707	13.328	13.323	13.332
